slug,cell,pure_deletion,overlays_used,verdict_source,outlier
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-AU-1,outlier,N,,phaseA,Y
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-V2-0-2026-04-28,MAIN@INTL,Y,,phaseA,N
E1500-HTE140-1500-Pro-2,MAIN@CN,Y,,phaseB-remeasure,N
E1500-HTE140-Jackery-1500-New,MAIN@JP,Y,,phaseA,N
E2000-HTE152-2000-Pro-Max-V0-5-2026-06-02,MAIN@CN,Y,,phaseA,N
E2000-HTE152-Jackery-HomePower-2000-Plus-User-Manual-JE-2000E-EUUK-V2-0-2026-08-03,MAIN@INTL,Y,,phaseA,N
E2000-HTE152-Jackery-HomePower-2000-Plus-User-Manual-V2-0-2026-05-28,MAIN@INTL,Y,,phaseA,N
E2000-HTE154-2000-Pro-3-V2-0-2026-08-18,MAIN@CN,Y,,phaseA,N
E2000-HTE154-Jackery-2000-New-V2-0-2026-06-24,MAIN@JP,Y,,phaseA,N
E2000-HTE154-Jackery-Explorer-2000-User-Manual-JE-2000F-EUUK-V2-0-2026-08-04,MAIN@INTL,N,T1,phaseA,N
E2000-HTE154-Jackery-Explorer-2000-User-Manual-V2-0-2026-04-30,MAIN@INTL,Y,,phaseA,N
E240-HTE110-Jackery-Explorer-240-User-Manual-JE-240A-EU-UK-202408,outlier,N,,phaseA,Y
E1000-HTE153-1000-Pro-3-V2-0-2026-08-18,MAIN@CN,Y,,phaseB-remeasure,N
E1000-HTE153-Jackery-1000-New-V1-0-2026-06-05,MAIN@JP,Y,,phaseA,N
E1000-HTE153-Jackery-Explorer-1000-User-Manual-JE-1000F-V2-0-EU-UK-2026-06-18,MAIN@INTL,N,T1,phaseA,N
E1000-HTE153-Jackery-Explorer-1000-User-Manual-V2-0-2026-07-28,MAIN@INTL,N,T1,phaseA,N
E3600-HTE139-3600-Plus,MAIN@CN,Y,,phaseA,N
E3600-HTE139-Jackery-3600-Plus,MAIN@JP,Y,,phaseA,N
E3600-HTE139-Jackery-Explorer-3600-Plus-EU-UK,MAIN@INTL,Y,,phaseA,N
E3600-HTE139-Jackery-HomePower-3600-Plus-Portable-Power-Station-User-Manual-3600C,MAIN@INTL,Y,,phaseA,N
E3600-HTE157-Jackery-HomePower3600-Pro-Max-Portable-Power-Station-User-Manual-1,MAIN@INTL,N,T2,phaseA,N
E100-HTE162-100D-V2-0-2026-07-31,MAIN@CN,Y,,phaseA,N
E100-HTE162-Jackery-Explorer-100D-User-Manual-JE-100C-EUUK-V2-0-2026-08-03,MAIN@INTL,Y,,phaseA,N
E100-HTE162-Jackery-Explorer-100D-User-Manual-JE-100C-USCA-V1-0-2026-08-18,MAIN@INTL,Y,,phaseA,N
E1000-HTE151-Jackery-SlimPower-H1-V2-0-2026-07-29,MAIN@JP,Y,,phaseA,N
E1000-HTE151-Jackery-FridgeGuard-User-Manual-V2-0-2026-07-29,MAIN@INTL,N,T3,phaseA,N
E300-HTE147-16-0102-000448-HTE147300A-EU-UK-JAK-RoHS-REACH,MAIN@INTL,Y,,phaseB-remeasure,N
E3000-HTE156-3000-Pro-3-V2-0-2026-05-26,MAIN@CN,Y,,phaseB-remeasure,N
E3000-HTE156-Jackery-3000-New,MAIN@JP,Y,,phaseA,N
E3000-HTE156-Jackery-Explorer-3000-User-Manual-JE-3000C-EUUK-V2-0-2026-07-31,MAIN@INTL,Y,,phaseB-remeasure,N
E3000-HTE156-Jackery-HomePower-3000-User-Manual,MAIN@INTL,Y,,phaseB-remeasure,N
E1000-HTE158-Jackery-1000-New-V2-0-2026-07-24,MAIN@JP,Y,,phaseA,N
E1000-HTE158-Jackery-HomePower-1000-User-Manual-1,MAIN@INTL,Y,,phaseA,N
E1000-HTE159-Jackery-1000-Plus,MAIN@JP,Y,,phaseA,N
E1000-HTE159-Jackery-Explorer-1000-Plus-User-Manual-JE-1000H-EUUK-V2-0-2026-08-03,MAIN@INTL,Y,,phaseA,N
E1000-HTE159-Jackery-HomePower-1000-Plus-User-Manual-pdf,MAIN@INTL,Y,,phaseA,N
E1500-HTE118-Jackery-Explorer-1500-Ultra,MAIN@INTL,Y,,phaseA,N
E1500-HTE140-Jackery-Explorer-1500-Manual-do-Usua-rio-V1-0-2026-06-23,MAIN@INTL,Y,,phaseA,N
E240-HTE110-Jackery-240,outlier,N,,phaseA,Y
HTP011-Jackery-Battery-Pack-3600-User-Manual-JBP-3000A-EUUK-V2-0-2026-08-04,BP@INTL,Y,,phaseA,N
HTP015-Jackery-Battery-Pack-V2-0-2026-07-29,BP@JP,Y,,phaseA,N
HTP015-Jackery-Battery-Pack-1,BP@INTL,N,T6,phaseA,N
E500-HTE132-Jackery-500-New,MAIN@JP,N,T4,phaseA,N
E500-HTE132-Jackery-Explorer-500-User-Manual-JE-500A-EU-UK-V2-0-2026-06-09,MAIN@INTL,Y,,phaseA,N
E500-HTE132-Jackery-Explorer-500-User-Manual-PH-V2-0-2026-04-01,MAIN@INTL,Y,,phaseA,N
E5000-HTE119-Jackery-5000-Plus,MAIN@JP,Y,,phaseA,N
HTP007-Jackery-Battery-Pack-5000-Plus,BP@JP,N,T7,phaseA,N
E300-HTE150-Jackery-300D,MAIN@JP,Y,,phaseA,N
E1500-HTE140-Jackery-1500-New-V1-0-2026-07-10,MAIN@JP,Y,,phaseA,N
E600-HTE133-Jackery-Explorer-600-User-Manual-AU-V2-0-2026-04-20,MAIN@INTL,Y,,phaseA,N
HTP017-Jackery-Battery-Pack-2000-V2-0-2026-05-28,BP@JP,Y,,phaseA,N
HTP017-Jackery-Battery-Pack-2000-User-Manual-JBP-2000B-EUUK-V2-0-2026-08-03,BP@INTL,Y,,phaseA,N
HTP017-Jackery-Battery-Pack-2000-User-Manual-V2-0-2026-04-27,BP@INTL,Y,,phaseA,N
E1500-HTE140-Jackery-1500-New-V1-0-2026-07-10-No-225,MAIN@JP,Y,,phaseA,N
E2000-HTE152-Jackery-2000-Plus-V2-JP,MAIN@JP,Y,,hte152-round,N
E1000-HTE153-Jackery-Explorer-1000-User-Manual-AU-V2,MAIN@INTL,Y,,hte153-round,N
E1000-HTE153-Jackery-Explorer-1000-KR,MAIN@INTL,Y,,hte153-round,N
E1000-HTE153-Explorer-1000-Manual-do-Usuario-BR,MAIN@INTL,Y,,hte153-round,N
