slug,order,topic_id_raw,topic_id_normalized
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-AU-1,1,cover,cover
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-AU-1,2,toc,toc
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-AU-1,3,safety_info,safety_info
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-AU-1,4,box_contents,box_contents
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-AU-1,5,product_overview,product_overview
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-AU-1,6,lcd_display,lcd_display
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-AU-1,7,operation,operation
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-AU-1,8,troubleshooting,troubleshooting
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-AU-1,9,ups_mode,ups_mode
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-AU-1,10,charging,charging
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-AU-1,11,bottom_cleaning,bottom_cleaning
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-AU-1,12,warranty,warranty
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-AU-1,13,app_setup,app_setup
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-AU-1,14,specifications,specifications
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-AU-1,15,back_cover,back_cover
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-V2-0-2026-04-28,1,cover,cover
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-V2-0-2026-04-28,2,preface_important,preface_important
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-V2-0-2026-04-28,3,toc,toc
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-V2-0-2026-04-28,4,safety_info,safety_info
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-V2-0-2026-04-28,5,user_maintenance_instructions,user_maintenance_instructions
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-V2-0-2026-04-28,6,symbol_meaning,symbol_meaning
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-V2-0-2026-04-28,7,box_contents,box_contents
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-V2-0-2026-04-28,8,fcc,fcc
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-V2-0-2026-04-28,9,product_overview,product_overview
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-V2-0-2026-04-28,10,lcd_display,lcd_display
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-V2-0-2026-04-28,11,operation,operation
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-V2-0-2026-04-28,12,ups_mode,ups_mode
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-V2-0-2026-04-28,13,charging,charging
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-V2-0-2026-04-28,14,bottom_cleaning,bottom_cleaning
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-V2-0-2026-04-28,15,storage_maintenance,storage
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-V2-0-2026-04-28,16,troubleshooting,troubleshooting
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-V2-0-2026-04-28,17,specifications,specifications
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-V2-0-2026-04-28,18,warranty,warranty
E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-V2-0-2026-04-28,19,app_setup,app_setup
E1500-HTE140-1500-Pro-2,1,cover,cover
E1500-HTE140-1500-Pro-2,2,safety_info,safety_info
E1500-HTE140-1500-Pro-2,3,box_contents,box_contents
E1500-HTE140-1500-Pro-2,4,product_overview,product_overview
E1500-HTE140-1500-Pro-2,5,lcd_display,lcd_display
E1500-HTE140-1500-Pro-2,6,operation,operation
E1500-HTE140-1500-Pro-2,7,ups_mode,ups_mode
E1500-HTE140-1500-Pro-2,8,charging,charging
E1500-HTE140-1500-Pro-2,9,troubleshooting,troubleshooting
E1500-HTE140-1500-Pro-2,10,storage_maintenance,storage
E1500-HTE140-1500-Pro-2,11,specifications,specifications
E1500-HTE140-1500-Pro-2,12,app_setup,app_setup
E1500-HTE140-1500-Pro-2,13,qc_certificate,cn_conformity_certificate
E1500-HTE140-Jackery-1500-New,1,cover,cover
E1500-HTE140-Jackery-1500-New,2,toc,toc
E1500-HTE140-Jackery-1500-New,3,safety_info,safety_info
E1500-HTE140-Jackery-1500-New,4,usage_precautions,usage_precautions
E1500-HTE140-Jackery-1500-New,5,disclaimer,disclaimer
E1500-HTE140-Jackery-1500-New,6,box_contents,box_contents
E1500-HTE140-Jackery-1500-New,7,product_overview,product_overview
E1500-HTE140-Jackery-1500-New,8,lcd_display,lcd_display
E1500-HTE140-Jackery-1500-New,9,operation,operation
E1500-HTE140-Jackery-1500-New,10,ups_mode,ups_mode
E1500-HTE140-Jackery-1500-New,11,charging,charging
E1500-HTE140-Jackery-1500-New,12,troubleshooting,troubleshooting
E1500-HTE140-Jackery-1500-New,13,specifications,specifications
E1500-HTE140-Jackery-1500-New,14,warranty,warranty
E1500-HTE140-Jackery-1500-New,15,app_setup,app_setup
E1500-HTE140-Jackery-1500-New,16,back_cover,back_cover
E2000-HTE152-2000-Pro-Max-V0-5-2026-06-02,1,cover,cover
E2000-HTE152-2000-Pro-Max-V0-5-2026-06-02,2,safety_info,safety_info
E2000-HTE152-2000-Pro-Max-V0-5-2026-06-02,3,box_contents,box_contents
E2000-HTE152-2000-Pro-Max-V0-5-2026-06-02,4,product_overview,product_overview
E2000-HTE152-2000-Pro-Max-V0-5-2026-06-02,5,lcd_display,lcd_display
E2000-HTE152-2000-Pro-Max-V0-5-2026-06-02,6,operation,operation
E2000-HTE152-2000-Pro-Max-V0-5-2026-06-02,7,ups_mode,ups_mode
E2000-HTE152-2000-Pro-Max-V0-5-2026-06-02,8,extra_battery,connections
E2000-HTE152-2000-Pro-Max-V0-5-2026-06-02,9,charging,charging
E2000-HTE152-2000-Pro-Max-V0-5-2026-06-02,10,storage_maintenance,storage
E2000-HTE152-2000-Pro-Max-V0-5-2026-06-02,11,troubleshooting,troubleshooting
E2000-HTE152-2000-Pro-Max-V0-5-2026-06-02,12,specifications,specifications
E2000-HTE152-2000-Pro-Max-V0-5-2026-06-02,13,app_setup,app_setup
E2000-HTE152-2000-Pro-Max-V0-5-2026-06-02,14,back_cover,cn_conformity_certificate
E2000-HTE152-Jackery-HomePower-2000-Plus-User-Manual-JE-2000E-EUUK-V2-0-2026-08-03,1,cover,cover
E2000-HTE152-Jackery-HomePower-2000-Plus-User-Manual-JE-2000E-EUUK-V2-0-2026-08-03,2,preface_important,preface_important
E2000-HTE152-Jackery-HomePower-2000-Plus-User-Manual-JE-2000E-EUUK-V2-0-2026-08-03,3,toc,toc
E2000-HTE152-Jackery-HomePower-2000-Plus-User-Manual-JE-2000E-EUUK-V2-0-2026-08-03,4,safety_info,safety_info
E2000-HTE152-Jackery-HomePower-2000-Plus-User-Manual-JE-2000E-EUUK-V2-0-2026-08-03,5,user_maintenance_instructions,user_maintenance_instructions
E2000-HTE152-Jackery-HomePower-2000-Plus-User-Manual-JE-2000E-EUUK-V2-0-2026-08-03,6,symbol_meaning,symbol_meaning
E2000-HTE152-Jackery-HomePower-2000-Plus-User-Manual-JE-2000E-EUUK-V2-0-2026-08-03,7,box_contents,box_contents
E2000-HTE152-Jackery-HomePower-2000-Plus-User-Manual-JE-2000E-EUUK-V2-0-2026-08-03,8,product_overview,product_overview
E2000-HTE152-Jackery-HomePower-2000-Plus-User-Manual-JE-2000E-EUUK-V2-0-2026-08-03,9,lcd_display,lcd_display
E2000-HTE152-Jackery-HomePower-2000-Plus-User-Manual-JE-2000E-EUUK-V2-0-2026-08-03,10,operation,operation
E2000-HTE152-Jackery-HomePower-2000-Plus-User-Manual-JE-2000E-EUUK-V2-0-2026-08-03,11,ups_mode,ups_mode
E2000-HTE152-Jackery-HomePower-2000-Plus-User-Manual-JE-2000E-EUUK-V2-0-2026-08-03,12,extra_battery,connections
E2000-HTE152-Jackery-HomePower-2000-Plus-User-Manual-JE-2000E-EUUK-V2-0-2026-08-03,13,charging,charging
E2000-HTE152-Jackery-HomePower-2000-Plus-User-Manual-JE-2000E-EUUK-V2-0-2026-08-03,14,storage_maintenance,storage
E2000-HTE152-Jackery-HomePower-2000-Plus-User-Manual-JE-2000E-EUUK-V2-0-2026-08-03,15,troubleshooting,troubleshooting
E2000-HTE152-Jackery-HomePower-2000-Plus-User-Manual-JE-2000E-EUUK-V2-0-2026-08-03,16,specifications,specifications
E2000-HTE152-Jackery-HomePower-2000-Plus-User-Manual-JE-2000E-EUUK-V2-0-2026-08-03,17,warranty,warranty
E2000-HTE152-Jackery-HomePower-2000-Plus-User-Manual-JE-2000E-EUUK-V2-0-2026-08-03,18,app_setup,app_setup
