corpus_id,slug,sku,model,region,languages,skeleton_cell,document_key,document_record_id,structurally_reconstructable,pipeline_buildable,delivery_validated,live_spec_rows,live_placeholder_rows,live_success_build_rows,evidence,blocker
C01,E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-AU-1,HTE118,needs_review,AU,en,outlier,needs_review,,no,no,no,0,0,0,reconstruction:outlier,live Document_key missing for HTE118/AU; structural outlier; no complete four-renderer + native package evidence
C02,E1500-HTE118-Jackery-Explorer-1500-Ultra-User-Manual-V2-0-2026-04-28,HTE118,needs_review,US,en,MAIN@INTL,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE118/US; no complete four-renderer + native package evidence
C03,E1500-HTE140-1500-Pro-2,HTE140,needs_review,CN,zh,MAIN@CN,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE140/CN; no complete four-renderer + native package evidence
C04,E1500-HTE140-Jackery-1500-New,HTE140,needs_review,JP,ja,MAIN@JP,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE140/JP; no complete four-renderer + native package evidence
C05,E2000-HTE152-2000-Pro-Max-V0-5-2026-06-02,HTE152,JE-2000E,CN,zh,MAIN@CN,JE-2000E_CN,recvpa8XRaRZda,yes,no,no,23,29,0,reconstruction:pure-deletion,current CI target statuses=FAIL; no complete four-renderer + native package evidence
C07,E2000-HTE152-Jackery-HomePower-2000-Plus-User-Manual-JE-2000E-EUUK-V2-0-2026-08-03,HTE152,JE-2000E,EU,en|fr|es|de|it|uk,MAIN@INTL,JE-2000E_EU,recvjouls6E5MT,yes,no,no,19,28,0,reconstruction:pure-deletion,no current config-derived check target; no complete four-renderer + native package evidence
C08,E2000-HTE152-Jackery-HomePower-2000-Plus-User-Manual-V2-0-2026-05-28,HTE152,JE-2000E,US,en|fr|es,MAIN@INTL,JE-2000E_US,recvkw3Z7reQ50,yes,no,no,21,29,0,reconstruction:pure-deletion,no current config-derived check target; no complete four-renderer + native package evidence
C09,E2000-HTE154-2000-Pro-3-V2-0-2026-08-18,HTE154,JE-2000F,CN,zh,MAIN@CN,JE-2000F_CN,recvlxxu8R2T6H,yes,no,no,19,30,1,reconstruction:pure-deletion,no current config-derived check target; no complete four-renderer + native package evidence
C10,E2000-HTE154-Jackery-2000-New-V2-0-2026-06-24,HTE154,needs_review,JP,ja,MAIN@JP,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE154/JP; no complete four-renderer + native package evidence
C11,E2000-HTE154-Jackery-Explorer-2000-User-Manual-JE-2000F-EUUK-V2-0-2026-08-04,HTE154,JE-2000F,EU,en|fr|es|de|it|uk,MAIN@INTL,JE-2000F_EU,recvlfXS6B7Jh8,yes,no,no,19,31,1,reconstruction:overlay=T1,no current config-derived check target; no complete four-renderer + native package evidence
C12,E2000-HTE154-Jackery-Explorer-2000-User-Manual-V2-0-2026-04-30,HTE154,JE-2000F,US,en|fr|es,MAIN@INTL,JE-2000F_US,recvmQjNhmmkHH,yes,no,no,21,32,0,reconstruction:pure-deletion,no current config-derived check target; no complete four-renderer + native package evidence
C13,E240-HTE110-Jackery-Explorer-240-User-Manual-JE-240A-EU-UK-202408,HTE110,needs_review,EU,en|fr|de|it|es|pt,outlier,needs_review,,no,no,no,0,0,0,reconstruction:outlier,live Document_key missing for HTE110/EU; structural outlier; no complete four-renderer + native package evidence
C14,E1000-HTE153-1000-Pro-3-V2-0-2026-08-18,HTE153,JE-1000F,CN,zh,MAIN@CN,JE-1000F_CN,recvfw0zG4jJuK,yes,no,no,19,30,0,reconstruction:pure-deletion,no current config-derived check target; no complete four-renderer + native package evidence
C16,E1000-HTE153-Jackery-1000-New-V1-0-2026-06-05,HTE153,JE-1000F,JP,ja,MAIN@JP,JE-1000F_JP,recvfw0zG4fAsL,yes,yes,no,19,29,1,reconstruction:pure-deletion; ci_check_targets:PASS,no complete four-renderer + native package evidence
C17,E1000-HTE153-Jackery-Explorer-1000-User-Manual-JE-1000F-V2-0-EU-UK-2026-06-18,HTE153,JE-1000F,EU,en|fr|es|de|it,MAIN@INTL,JE-1000F_EU,recvhoZFKGg7l0,yes,yes,no,19,31,1,reconstruction:overlay=T1; ci_check_targets:PASS,no complete four-renderer + native package evidence
