key,value,unit,comment
comp_trouble_compact_max_rows,7,int,Maximum troubleshooting body rows using the compact section guard
comp_trouble_compact_section_needspace,55,mm,Minimum space required for a compact troubleshooting heading and table
idml_compact_safety_symbols_title_top,163.2,pt,Compact shared-page Symbols H1 top after English Safety copy
lang_fr_idml_compact_safety_symbols_title_top,173.2,pt,Compact shared-page Symbols H1 top after French Safety copy
lang_es_idml_compact_safety_symbols_title_top,173.2,pt,Compact shared-page Symbols H1 top after Spanish Safety copy
lang_de_idml_compact_safety_symbols_title_top,173.2,pt,Compact shared-page Symbols H1 top after German Safety copy
lang_it_idml_compact_safety_symbols_title_top,173.2,pt,Compact shared-page Symbols H1 top after Italian Safety copy
lang_uk_idml_compact_safety_symbols_title_top,173.2,pt,Compact shared-page Symbols H1 top after Ukrainian Safety copy
idml_compact_safety_title_body_gap,3.5,pt,Compact shared-page gap after the Safety H1 bar
idml_compact_safety_symbols_gap,4.0,pt,Compact shared-page clear gap before the Symbols H1 bar
idml_compact_symbols_title_gap,6.0,pt,Compact shared-page gap from Symbols H1 to signal table
idml_compact_safety_body_font_size,5.4,pt,Compact shared-page Safety lead font size
idml_compact_safety_body_leading,6.1,pt,Compact shared-page Safety lead leading
idml_compact_safety_list_font_size,5.5,pt,Compact shared-page Safety list font size
idml_compact_safety_list_leading,6.3,pt,Compact shared-page Safety list leading
lang_en_idml_compact_safety_list_font_size,6.0,pt,English compact shared-page Safety list font size
lang_en_idml_compact_safety_list_leading,6.8,pt,English compact shared-page Safety list leading
lang_fr_idml_compact_safety_list_font_size,5.7,pt,French compact shared-page Safety list font size
lang_fr_idml_compact_safety_list_leading,6.5,pt,French compact shared-page Safety list leading
lang_es_idml_compact_safety_list_font_size,5.7,pt,Spanish compact shared-page Safety list font size
lang_es_idml_compact_safety_list_leading,6.5,pt,Spanish compact shared-page Safety list leading
lang_de_idml_compact_safety_list_font_size,4.9,pt,German compact shared-page Safety list font size
lang_de_idml_compact_safety_list_leading,5.3,pt,German compact shared-page Safety list leading
lang_it_idml_compact_safety_list_font_size,4.9,pt,Italian compact shared-page Safety list font size
