document_key,Region,Is_Latest,Page,Section,Section_order,Row_order,Row_key,Row_label_source,Line_order,Value_source,Model,Source_lang
JS-100I_EU,EU,TRUE,specifications,BASIC INFORMATION,1,1,product_name,Product Name,1,Jackery SolarSaga 100 Air,JS-100I,en
JS-100I_EU,EU,TRUE,specifications,BASIC INFORMATION,1,2,model_no,Model,1,JS-100I,JS-100I,en
JS-100I_EU,EU,TRUE,specifications,BASIC INFORMATION,1,3,dimensions_unfolded,Dimensions (unfolded),1,1630 × 423 × 17 mm,JS-100I,en
JS-100I_EU,EU,TRUE,specifications,BASIC INFORMATION,1,4,dimensions_folded,Dimensions (folded),1,423.5 × 423 × 47 mm,JS-100I,en
JS-100I_EU,EU,TRUE,specifications,BASIC INFORMATION,1,5,weight,Weight,1,3.2 kg ± 0.2 kg,JS-100I,en
JS-100I_EU,EU,TRUE,specifications,BASIC INFORMATION,1,6,ip_rating,IP Rating,1,IP68,JS-100I,en
JS-100I_EU,EU,TRUE,specifications,BASIC INFORMATION,1,7,operating_temperature,Operating Temperature Range,1,-20°C to 65°C,JS-100I,en
JS-100I_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,1,maximum_power,Maximum Power (Pₘₐₓ),1,STC*: 100 W ± 5% / BNPI*: 110 W ± 5%,JS-100I,en
JS-100I_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,2,open_circuit_voltage,Open-Circuit Voltage (Vₒ꜀),1,STC*: 26.0 V ± 5% / BNPI*: 26.3 V ± 5%,JS-100I,en
JS-100I_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,3,short_circuit_current,Short-Circuit Current (Iₛ꜀),1,STC*: 4.95 A ± 5% / BNPI*: 5.38 A ± 5%,JS-100I,en
JS-100I_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,4,maximum_power_voltage,Maximum Power Voltage (Vₘₚ),1,STC*: 21.7 V ± 5% / BNPI*: 22.0 V ± 5%,JS-100I,en
JS-100I_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,5,maximum_power_current,Maximum Power Current (Iₘₚ),1,STC*: 4.67 A ± 5% / BNPI*: 5.08 A ± 5%,JS-100I,en
JS-100I_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,6,maximum_system_voltage,Maximum System Voltage,1,80 V,JS-100I,en
JS-100I_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,7,maximum_reverse_current,Maximum Reverse Current,1,15 A,JS-100I,en
JS-100I_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,8,protection_class,Protection Class Against Electric Shock,1,Class II,JS-100I,en
JS-100I_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,9,bifaciality_coefficient,"Bifaciality Coefficient (back/front)",1,"Pₘₐₓ >65%, Vₒ꜀ >97%, Iₛ꜀ >65%",JS-100I,en
JS-100I_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,10,voltage_temperature_coefficient,Voltage Temperature Coefficient,1,-0.27%/°C,JS-100I,en
JS-100I_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,11,power_temperature_coefficient,Power Temperature Coefficient,1,-0.33%/°C,JS-100I,en
JS-100I_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,12,photovoltaic_consumer_products,Photovoltaic Consumer Products,1,IEC TS 63163 Consumer Product Category 2,JS-100I,en
JS-100I_EU,EU,TRUE,specifications,MULTIFUNCTIONAL ADAPTER,3,1,usb_a_output,USB-A Output,1,5 V⎓2.4 A,JS-100I,en
JS-100I_EU,EU,TRUE,specifications,MULTIFUNCTIONAL ADAPTER,3,2,usb_c_output,USB-C Output,1,5 V⎓3 A,JS-100I,en
