document_key,Region,Is_Latest,Page,Section,Section_order,Row_order,Row_key,Row_label_source,Line_order,Value_source,Model,Source_lang
JS-200E_EU,EU,TRUE,specifications,BASIC INFORMATION,1,1,product_name,Product Name,1,Jackery SolarSaga 200,JS-200E,en
JS-200E_EU,EU,TRUE,specifications,BASIC INFORMATION,1,2,model_no,Model,1,JS-200E,JS-200E,en
JS-200E_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,1,maximum_power,Maximum Power (Pₘₐₓ),1,STC*: 200 W ± 5% / BNPI*: 225 W ± 5%,JS-200E,en
JS-200E_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,2,open_circuit_voltage,Open-Circuit Voltage (Vₒ꜀),1,STC*: 22 V ± 5% / BNPI*: 22 V ± 5%,JS-200E,en
JS-200E_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,3,short_circuit_current,Short-Circuit Current (Iₛ꜀),1,STC*: 12.5 A ± 5% / BNPI*: 13.5 A ± 5%,JS-200E,en
JS-200E_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,4,maximum_power_voltage,Maximum Power Voltage (Vₘₚ),1,STC*: 18 V ± 5% / BNPI*: 18 V ± 5%,JS-200E,en
JS-200E_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,5,maximum_power_current,Maximum Power Current (Iₘₚ),1,STC*: 11.5 A ± 5% / BNPI*: 12.6 A ± 5%,JS-200E,en
JS-200E_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,6,maximum_system_voltage,Maximum System Voltage,1,60 V,JS-200E,en
JS-200E_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,7,maximum_reverse_current,Maximum Reverse Current,1,15 A,JS-200E,en
JS-200E_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,8,protection_class,Protection Class Against Electric Shock,1,Class II,JS-200E,en
JS-200E_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,9,ip_rating,IP Rating,1,IP68,JS-200E,en
JS-200E_EU,EU,TRUE,specifications,PHYSICAL AND COMPLIANCE,3,1,operating_temperature,Operating Temperature Range,1,-20°C to 65°C (-4°F to 149°F),JS-200E,en
JS-200E_EU,EU,TRUE,specifications,PHYSICAL AND COMPLIANCE,3,2,dimensions_unfolded,Dimensions (unfolded),1,2279 × 597 × 25 mm,JS-200E,en
JS-200E_EU,EU,TRUE,specifications,PHYSICAL AND COMPLIANCE,3,3,dimensions_folded,Dimensions (folded),1,600 × 597 × 40 mm,JS-200E,en
JS-200E_EU,EU,TRUE,specifications,PHYSICAL AND COMPLIANCE,3,4,weight,Weight,1,6.5 kg ± 0.3 kg,JS-200E,en
JS-200E_EU,EU,TRUE,specifications,PHYSICAL AND COMPLIANCE,3,5,bifaciality_coefficient,"Bifaciality Coefficient (back/front)",1,"Pₘₐₓ > 70%, Vₒ꜀ > 95%, Iₛ꜀ > 65%",JS-200E,en
JS-200E_EU,EU,TRUE,specifications,PHYSICAL AND COMPLIANCE,3,6,voltage_temperature_coefficient,Voltage Temperature Coefficient,1,-(0.27 ± 0.03)%/°C,JS-200E,en
JS-200E_EU,EU,TRUE,specifications,PHYSICAL AND COMPLIANCE,3,7,power_temperature_coefficient,Power Temperature Coefficient,1,-(0.33 ± 0.02)%/°C,JS-200E,en
JS-200E_EU,EU,TRUE,specifications,PHYSICAL AND COMPLIANCE,3,8,photovoltaic_consumer_products,Photovoltaic Consumer Products,1,IEC TS 63163 Consumer Product Category 2,JS-200E,en
JS-200E_EU,EU,TRUE,specifications,MULTIFUNCTIONAL ADAPTER,4,1,usb_a_output,USB-A Output,1,5 V⎓2.4 A,JS-200E,en
JS-200E_EU,EU,TRUE,specifications,MULTIFUNCTIONAL ADAPTER,4,2,usb_c_output,USB-C Output,1,5 V⎓3 A,JS-200E,en
