"Region","Is_Latest","Page","Section","Section_order","Row_key","Slot_key","Row_label_source","Row_label_footnote_refs","Line_order","Param_source","Param_footnote_refs","Value_source","Value_footnote_refs","Row_label_fr","Param_fr","Value_fr","Row_label_es","Model","Param_es","Value_es","Source_lang"
"US","TRUE","specifications","GENERAL INFO","1","product_name","","Product Name","","1","","","Jackery Explorer 1000","","Nom du produit","","Jackery Explorer 1000","Nombre del producto","JE-1000F","","Jackery Explorer 1000","en"
"US","TRUE","specifications","GENERAL INFO","1","model_no","","Model No.","","1","","","JE-1000F / JE-1000F-SG","","N° modèle","","JE-1000F / JE-1000F-SG","N° de modelo","JE-1000F","","JE-1000F / JE-1000F-SG","en"
"US","TRUE","specifications","GENERAL INFO","1","capacity","","Capacity","","1","","","1024 Wh (20Ah/51.2V DC)","","Capacité","","1024 Wh (20Ah/51.2V DC)","Capacidad","JE-1000F","","1024 Wh (20Ah/51.2V DC)","en"
"US","TRUE","specifications","GENERAL INFO","1","cell_chemistry","","Cell Chemistry","","1","","","LiFePO₄","","Cellule Chimique","","LiFePO₄","Química Celular","JE-1000F","","LiFePO₄","en"
"US","TRUE","specifications","GENERAL INFO","1","weight","","Weight","","1","","","About 23.4 lbs/10.6 kg","","Poids","","Environ 23,4 lb / 10,6 kg","Peso","JE-1000F","","Aproximadamente 23,4 libras / 10,6 kg","en"
"US","TRUE","specifications","GENERAL INFO","1","dimensions","","Dimensions","","1","","","12.4 x 7.9 x 9.3 in / 31.4 x 20.1 x 23.6 cm","","Dimensions","","12.4 x 7.9 x 9.3 po / 31.4 x 20.1 x 23.6 cm","Dimensiones","JE-1000F","","12.4 x 7.9 x 9.3 pulgadas / 31.4 x 20.1 x 23.6 cm","en"
"US","TRUE","specifications","GENERAL INFO","1","cycle_life","","Cycle Life","","1","","","6000 cycles to 70%+ capacity","","Durée de vie","","6000 cycles jusqu'à 70 % ou plus de capacité","Ciclo de vida","JE-1000F","","6000 ciclos hasta 70 % o más de capacidad","en"
"US","TRUE","specifications","INPUT PORTS","2","ac_input","","1 × AC Input","","1","Charge Mode","","100V-120V~60Hz, 15A Max","","1 × Entrée CA","Mode de charge","100V-120V~60Hz, 15A max.","1 × Entrada CA","JE-1000F","Modo de carga","100V-120V~60Hz, 15A máx.","en"
"US","TRUE","specifications","INPUT PORTS","2","ac_input","","1 × AC Input","","2","Bypass Mode","ac_bypass","100V-120V~60Hz, 12A Max","","1 × Entrée CA","Mode de dérivation","100V-120V~60Hz, 12A max.","1 × Entrada CA","JE-1000F","Modo de derivación","100V-120V~60Hz, 12A máx.","en"
"US","TRUE","specifications","INPUT PORTS","2","dc8020_ports","","2 × DC8020 Ports","","1","","","11V-16V⎓8A Max, Double to 8A Max","","2 × Ports DC8020","","11V-16V⎓8A max., double à 8A max.","2 × Puertos DC8020","JE-1000F","","11V-16V⎓8A máx., doble a 8A máx.","en"
"US","TRUE","specifications","INPUT PORTS","2","dc8020_ports","","2 × DC8020 Ports","","2","","","16V-60V⎓12A, Double to 21A / 400W Max","","2 × Ports DC8020","","16V-60V⎓12A, double à 21A / 400W max.","2 × Puertos DC8020","JE-1000F","","16V-60V⎓12A, doble a 21A / 400W máx.","en"
"US","TRUE","specifications","OUTPUT PORTS","3","ac_output","","3 × AC","","1","","","120V~60Hz, 18.3A Max, 1500W Rated per port, 1500W in Total, 3000W Surge Peak (14°F to 113°F / -10°C to 45°C)","","3 × Sortie CA","","120V~60Hz, 18,3A max., 1500W nominal par port, 1500W au total, crête de surtension de 3000W (14°F à 113°F / -10°C à 45°C)","3 × Salidas CA","JE-1000F","","120V~60Hz, 18,3A máx., 1500W nominales por puerto, 1500W en total, pico de sobretensión de 3000W (14°F a 113°F / -10°C a 45°C)","en"
"US","TRUE","specifications","OUTPUT PORTS","3","ac_output","","3 × AC","","2","","","120V~60Hz, 13.3A (-4°F to 14°F / -20°C to -10°C)","","3 × Sortie CA","","120V~60Hz, 13,3A (-4°F à 14°F / -20°C à -10°C)","3 × Salidas CA","JE-1000F","","120V~60Hz, 13,3A (-4°F a 14°F / -20°C a -10°C)","en"
"US","TRUE","specifications","OUTPUT PORTS","3","ac_output_bypass","","AC Output in Bypass Mode","ac_bypass","1","","","100V-120V~60Hz, 12A Max","","Sortie CA en mode dérivation","","100V-120V~60Hz, 12A max.","Salida de CA en modo derivación","JE-1000F","","100V-120V~60Hz, 12A máx.","en"
