sku_id,var_key,var_value,var_type
JB1000,sku_id,JB1000,str
JB1000,product_name,Jackery Battery 1000,str
JB1000,charge_temp_range,-20°C to 45°C,str
JB1000,discharge_temp_range,-20°C to 45°C,str
JB1000,charge_temp_range_fr,-20°C à 45°C,str
JB1000,discharge_temp_range_fr,-20°C à 45°C,str

JB2000,sku_id,JB2000,str
JB2000,product_name,Jackery Battery 2000,str
JB2000,charge_temp_range,-20°C to 45°C,str
JB2000,discharge_temp_range,-20°C to 45°C,str
JB2000,charge_temp_range_fr,-20°C à 45°C,str
JB2000,discharge_temp_range_fr,-20°C à 45°C,str
