Row_label_source,Line_order,Row_key,Remark
1 x AC,1,ac_input,
1 × AC Input,1,ac_input,
1 × AC Input,2,ac_input,
1 × DC 12V Port,1,dc12_port,
1 × DC 12V点烟口,1,dc12_port,
1 × USB-A,1,usb_a,
1 × USB-A 18W,1,usb_a,
1×ACポート,1,ac_input,
1×ACポート,2,ac_input,
1×USB-Aポート,1,usb_a,
2 × DC8020 Ports,1,dc8020_ports,
2 × DC8020 Ports,2,dc8020_ports,
2 × DC（DC8020）,1,dc8020_ports,
2 × DC（DC8020）,2,dc8020_ports,
2 × USB-C,1,usb_c,
2 × USB-C,2,usb_c,
2 × USB-C,3,usb_c,
2×DC8020ポート,1,dc8020_ports,
2×DC8020ポート,2,dc8020_ports,
2×USB-Cポート,1,usb_c,
2×USB-Cポート,2,usb_c,
2×USB-Cポート,3,usb_c,
3 × AC,1,ac_output,
3 × AC,2,ac_output,
3×ACポート,1,ac_output,
3×ACポート,2,ac_output,
AC Input,1,ac_input,
AC Output,1,ac_output,
AC Output in Bypass Mode,1,ac_output_bypass,
AC Power Button,1,ac_power_button,
AC出力(パススルー),1,ac_output_bypass,
AC出力合計,1,ac_total_output,
AC并机输出,1,ac_parallel_output,
AC总输出,1,ac_total_output,
AC旁路输出,1,ac_output_bypass,
Battery Pack Name,1,battery_pack_name,
Capacity,1,capacity,
Car Input,1,dc_input,
Cell Chemistry,1,cell_chemistry,
Charging Temperature,1,charging_temperature,
Cycle Life,1,cycle_life,
DC 12V Port,1,dc12_port,
DC Input (2 x DC8020 Ports),1,dc_input,
DC Input (2×DC8020 Ports),1,dc_input,
DC/USB Power Button,1,dc_usb_power_button,
Default Standby Duration,1,default_standby_duration,
Dimensions,1,dimensions,
Discharging Temperature,1,discharging_temperature,
Energy Saving AC Threshold,1,energy_saving_ac_threshold,
Energy Saving Auto Off Duration,1,energy_saving_auto_off_duration,
Energy Saving DC Threshold,1,energy_saving_dc_threshold,
Main Power Button,1,main_power_button,
Model No.,1,model_no,
PV Input,1,dc_input,
Product Name,1,product_name,
Storage Temperature,1,storage_temperature,
Storage Temperature,2,storage_temperature,
Storage Temperature,3,storage_temperature,
Total Output,1,total_output,
UPS Bypass Output,1,ups_bypass_output,
USB-A 18W Output,1,usb_a,
USB-C 100W Output,1,usb_c,
USB-C 100W Port,1,usb_c_high_power_port,
USB-C 140W Output,1,usb_c,
USB-C 140W Port,1,usb_c_high_power_port,
USB-C 30W Output,1,usb_c,
USB-C输出端口,1,usb_c,
USB-C输出端口,2,usb_c,
Weight,1,weight,
サイクル寿命,1,cycle_life,
サイズ,1,dimensions,
シガーソケット出力,1,dc12_port,
バッテリータイプ,1,cell_chemistry,
产品名称,1,product_name,
保管温度,1,storage_temperature,
保管温度,2,storage_temperature,
保管温度,3,storage_temperature,
充电温度,1,charging_temperature,
充電温度,1,charging_temperature,
加电包连接端口,1,battery_pack_connection_port,
型号,1,model_no,
型番,1,model_no,
存储温度,1,storage_temperature,
存储温度,2,storage_temperature,
存储温度,3,storage_temperature,
定格容量,1,capacity,
尺寸,1,dimensions,
并机端口,1,parallel_port,
循环寿命,1,cycle_life,
放电温度,1,discharging_temperature,
放電温度,1,discharging_temperature,
电池组能量,1,capacity,
电芯类型,1,cell_chemistry,
製品の名称,1,product_name,
重量,1,weight,
