block_id,page_id,order,block_type,sku_scope,text_en,text_fr,meta_json,enabled
sym_100,symbols,100,danger_title,ALL,"DANGER","DANGER","{}",1
sym_101,symbols,101,danger_line,ALL,"This device is intended for indoor use only (Please place this device in a similar indoor environment when using it outdoors, e.g. Home RVs, tents, cabins, etc.).","This device is intended for indoor use only (Please place this device in a similar indoor environment when using it outdoors, e.g. Home RVs, tents, cabins, etc.).","{}",1
sym_102,symbols,102,danger_note,ALL,"! This device is not waterproof or dustproof. Keep away from rain and humid environments during use.","! This device is not waterproof or dustproof. Keep away from rain and humid environments during use.","{}",1
sym_110,symbols,110,maintenance_title,ALL,"USER MAINTENANCE INSTRUCTIONS","USER MAINTENANCE INSTRUCTIONS","{}",1
sym_111,symbols,111,maintenance_paragraph,ALL,"During the lifecycle of energy storage products, a certain degree of capacity and energy degradation is expected. As the number of charge and discharge cycles increases and storage time extends, this degradation will gradually intensify, which is a normal phenomenon consistent with the natural aging of battery cells.","During the lifecycle of energy storage products, a certain degree of capacity and energy degradation is expected. As the number of charge and discharge cycles increases and storage time extends, this degradation will gradually intensify, which is a normal phenomenon consistent with the natural aging of battery cells.","{}",1
sym_120,symbols,120,symbols_title,ALL,"MEANING OF SYMBOLS","MEANING OF SYMBOLS","{}",1
sym_130,symbols,130,main_row,ALL,"! WARNING || Hazardous practices that may result in severe injury, death, and/or property damage.","! WARNING || Hazardous practices that may result in severe injury, death, and/or property damage.","{}",1
sym_131,symbols,131,main_row,ALL,"! CAUTION || Hazardous practices that may result in personal injury and/or property damage.","! CAUTION || Hazardous practices that may result in personal injury and/or property damage.","{}",1
sym_132,symbols,132,main_row,ALL,"! NOTE || Hazardous practices that may result in equipment damage, data loss, performance deterioration, or unanticipated results.","! NOTE || Hazardous practices that may result in equipment damage, data loss, performance deterioration, or unanticipated results.","{}",1
sym_133,symbols,133,main_row,ALL,"! TIP || Supplements the important information or operation tips in the text.","! TIP || Supplements the important information or operation tips in the text.","{}",1
sym_140,symbols,140,left_row,ALL,"! || Warning and Caution Symbols. Must read to alert individuals to potential hazards or risks.","! || Warning and Caution Symbols. Must read to alert individuals to potential hazards or risks.","{}",1
sym_141,symbols,141,left_row,ALL,"! || Read the user manual before operation.","! || Read the user manual before operation.","{}",1
sym_142,symbols,142,left_row,ALL,"! || Risk of electric shock","! || Risk of electric shock","{}",1
sym_143,symbols,143,left_row,ALL,"! || Battery charging","! || Battery charging","{}",1
sym_144,symbols,144,left_row,ALL,"! || Explosive material","! || Explosive material","{}",1
sym_145,symbols,145,left_row,ALL,"! || Heavy object","! || Heavy object","{}",1
sym_150,symbols,150,right_row,ALL,"! || Do not dismantle the product.","! || Do not dismantle the product.","{}",1
sym_151,symbols,151,right_row,ALL,"! || Keep the product away from fire.","! || Keep the product away from fire.","{}",1
sym_152,symbols,152,right_row,ALL,"! || Keep away from children.","! || Keep away from children.","{}",1
sym_153,symbols,153,right_row,ALL,"! || This symbol indicates that a lithium-ion (Li-ion) battery is inside the product and should be disposed of or recycled properly.","! || This symbol indicates that a lithium-ion (Li-ion) battery is inside the product and should be disposed of or recycled properly.","{}",1
sym_154,symbols,154,right_row,ALL,"! || This symbol indicates that the product shall not be disposed of as household waste, and should be delivered to a designated collection facility for recycling. Proper disposal and recycling can help protect the environment. For more information about the disposal and recycling of this product, contact your local community, disposal service, or dealer.","! || This symbol indicates that the product shall not be disposed of as household waste, and should be delivered to a designated collection facility for recycling. Proper disposal and recycling can help protect the environment. For more information about the disposal and recycling of this product, contact your local community, disposal service, or dealer.","{}",1

