document_key,Region,Is_Latest,Page,Section,Section_order,Row_order,Row_key,Slot_key,Row_label_source,Row_label_footnote_refs,Line_order,Param_source,Param_footnote_refs,Value_source,Value_footnote_refs,Row_label_fr,Param_fr,Value_fr,Row_label_es,Model,Param_es,Value_es,Row_label_de,Param_de,Value_de,Row_label_it,Param_it,Value_it,Row_label_uk,Param_uk,Value_uk,Source_lang
JE-1000F_CN,CN,TRUE,operation_guide,OUTPUT PORTS,3,1,usb_c_high_power_port,label,USB-C 140W Port,,1,,,USB-C 140W输出端口,,,,,,JE-1000F,,,USB-C 140W Port,,,USB-C 140W Port,,,USB-C 140W Port,,,zh
JE-1000F_CN,CN,TRUE,operation_guide,SETTINGS,8,1,default_standby_duration,value,Default Standby Duration,,1,,,2小时,,,,,,JE-1000F,,,Default Standby Duration,,,Default Standby Duration,,,Default Standby Duration,,,zh
JE-1000F_CN,CN,TRUE,operation_guide,SETTINGS,8,2,energy_saving_auto_off_duration,value,Energy Saving Auto Off Duration,,1,,,12小时,,,,,,JE-1000F,,,Energy Saving Auto Off Duration,,,Energy Saving Auto Off Duration,,,Energy Saving Auto Off Duration,,,zh
JE-1000F_CN,CN,TRUE,operation_guide,SETTINGS,8,3,energy_saving_ac_threshold,value,Energy Saving AC Threshold,,1,,,25W,,,,,,JE-1000F,,,Energy Saving AC Threshold,,,Energy Saving AC Threshold,,,Energy Saving AC Threshold,,,zh
JE-1000F_CN,CN,TRUE,operation_guide,SETTINGS,8,4,energy_saving_dc_threshold,value,Energy Saving DC Threshold,,1,,,2W,,,,,,JE-1000F,,,Energy Saving DC Threshold,,,Energy Saving DC Threshold,,,Energy Saving DC Threshold,,,zh
JE-1000F_CN,CN,TRUE,Product overview,INPUT PORTS,2,1,dc_input,side.car.spec,Car Input,,1,,,车充：11V-16V⎓最大8A，双路最大8A,,,,,,JE-1000F,,,Car Input,,,Car Input,,,Car Input,,,zh
JE-1000F_CN,CN,TRUE,Product overview,INPUT PORTS,2,1,dc_input,side.label,DC Input (2 x DC8020 Ports),,1,,,DC输入端口（2×DC8020口）,,,,,,JE-1000F,,,DC Input (2 x DC8020 Ports),,,DC Input (2 x DC8020 Ports),,,DC Input (2 x DC8020 Ports),,,zh
JE-1000F_CN,CN,TRUE,Product overview,INPUT PORTS,2,1,dc_input,side.pv.spec,PV Input,,1,,,光伏：16V-60V⎓12A，双路最大21A/最大800W,,,,,,JE-1000F,,,PV Input,,,PV Input,,,PV Input,,,zh
JE-1000F_CN,CN,TRUE,Product overview,INPUT PORTS,2,2,ac_input,side.label,AC Input,,1,,,AC输入端口,,,,,,JE-1000F,,,AC Input,,,AC Input,,,AC Input,,,zh
JE-1000F_CN,CN,TRUE,Product overview,INPUT PORTS,2,2,ac_input,side.spec,AC Input,,1,,,220V-240V~50Hz，最大10A,,,,,,JE-1000F,,,AC Input,,,AC Input,,,AC Input,,,zh
JE-1000F_CN,CN,TRUE,Product overview,OUTPUT PORTS,3,1,dc12_port,front.label,DC 12V Port,,1,,,DC 12V点烟口,,,,,,JE-1000F,,,DC 12V Port,,,DC 12V Port,,,DC 12V Port,,,zh
JE-1000F_CN,CN,TRUE,Product overview,OUTPUT PORTS,3,1,dc12_port,front.spec,DC 12V Port,,1,,,12V⎓最大10A,,,,,,JE-1000F,,,DC 12V Port,,,DC 12V Port,,,DC 12V Port,,,zh
JE-1000F_CN,CN,TRUE,Product overview,OUTPUT PORTS,3,2,usb_c,front.high.label,USB-C 140W Output,,1,,,USB-C 140W输出端口,,,,,,JE-1000F,,,USB-C 140W Output,,,USB-C 140W Output,,,USB-C 140W Output,,,zh
JE-1000F_CN,CN,TRUE,Product overview,OUTPUT PORTS,3,2,usb_c,front.high.spec,USB-C 140W Output,,1,,,5V⎓3A，9V⎓3A，12V⎓3A，15V⎓3A，20V⎓5A，28V⎓5A，最大140W,,,,,,JE-1000F,,,USB-C 140W Output,,,USB-C 140W Output,,,USB-C 140W Output,,,zh
JE-1000F_CN,CN,TRUE,Product overview,OUTPUT PORTS,3,2,usb_c,front.low.label,USB-C 30W Output,,1,,,USB-C 30W输出端口,,,,,,JE-1000F,,,USB-C 30W Output,,,USB-C 30W Output,,,USB-C 30W Output,,,zh
JE-1000F_CN,CN,TRUE,Product overview,OUTPUT PORTS,3,2,usb_c,front.low.spec,USB-C 30W Output,,1,,,5V⎓3A，9V⎓3A，12V⎓2.5A，15V⎓2A，20V⎓1.5A，最大30W,,,,,,JE-1000F,,,USB-C 30W Output,,,USB-C 30W Output,,,USB-C 30W Output,,,zh
JE-1000F_CN,CN,TRUE,Product overview,OUTPUT PORTS,3,3,usb_a,front.label,USB-A 18W Output,,1,,,USB-A 18W输出端口,,,,,,JE-1000F,,,USB-A 18W Output,,,USB-A 18W Output,,,USB-A 18W Output,,,zh
JE-1000F_CN,CN,TRUE,Product overview,OUTPUT PORTS,3,3,usb_a,front.spec,USB-A 18W Output,,1,,,5-6V⎓3A，6-9V⎓2A，9-12V⎓1.5A，最大18W,,,,,,JE-1000F,,,USB-A 18W Output,,,USB-A 18W Output,,,USB-A 18W Output,,,zh
JE-1000F_CN,CN,TRUE,Product overview,OUTPUT PORTS,3,4,ac_output,front.label,AC Output,,1,,,AC输出端口,,,,,,JE-1000F,,,AC Output,,,AC Output,,,AC Output,,,zh
JE-1000F_CN,CN,TRUE,Product overview,OUTPUT PORTS,3,4,ac_output,front.spec,AC Output,,1,,,220V~50Hz，10.9A，额定2400W,,,,,,JE-1000F,,,AC Output,,,AC Output,,,AC Output,,,zh
JE-1000F_CN,CN,TRUE,Product overview,OUTPUT PORTS,3,5,total_output,front.label,Total Output,,1,,,AC总输出,,,,,,JE-1000F,,,Total Output,,,Total Output,,,Total Output,,,zh
JE-1000F_CN,CN,TRUE,Product overview,OUTPUT PORTS,3,5,total_output,front.spec,Total Output,,1,,,3口合计2400W，瞬时最大4800W,,,,,,JE-1000F,,,Total Output,,,Total Output,,,Total Output,,,zh
JE-1000F_CN,CN,TRUE,Product overview,CONTROLS,7,1,main_power_button,label,Main Power Button,,1,,,总电源开关键,,,,,,JE-1000F,,,Main Power Button,,,Main Power Button,,,Main Power Button,,,zh
JE-1000F_CN,CN,TRUE,Product overview,CONTROLS,7,2,dc_usb_power_button,label,DC/USB Power Button,,1,,,DC/USB输出按键,,,,,,JE-1000F,,,DC/USB Power Button,,,DC/USB Power Button,,,DC/USB Power Button,,,zh
JE-1000F_CN,CN,TRUE,Product overview,CONTROLS,7,3,ac_power_button,label,AC Power Button,,1,,,AC输出按键,,,,,,JE-1000F,,,AC Power Button,,,AC Power Button,,,AC Power Button,,,zh
JE-1000F_CN,CN,TRUE,specifications,GENERAL INFO,1,1,product_name,,产品名称,,1,,,便携式储能电源 1000 Pro 3,,,,,,JE-1000F,,,产品名称,,,产品名称,,,产品名称,,,zh
JE-1000F_CN,CN,TRUE,specifications,GENERAL INFO,1,2,model_no,,型号,,1,,,JE-1000F,,,,,,JE-1000F,,,型号,,,型号,,,型号,,,zh
JE-1000F_CN,CN,TRUE,specifications,GENERAL INFO,1,3,cell_chemistry,,电芯类型,,1,,,磷酸铁锂电芯,,,,,,JE-1000F,,,电芯类型,,,电芯类型,,,电芯类型,,,zh
JE-1000F_CN,CN,TRUE,specifications,GENERAL INFO,1,4,capacity,,电池组能量,,1,,,1024Wh,,,,,,JE-1000F,,,电池组能量,,,电池组能量,,,电池组能量,,,zh
JE-1000F_CN,CN,TRUE,specifications,GENERAL INFO,1,6,weight,,重量,,1,,,约10.6 kg,,,,,,JE-1000F,,,重量,,,重量,,,重量,,,zh
JE-1000F_CN,CN,TRUE,specifications,GENERAL INFO,1,7,dimensions,,尺寸,,1,,,约314×201×233.5 mm,,,,,,JE-1000F,,,尺寸,,,尺寸,,,尺寸,,,zh
JE-1000F_CN,CN,TRUE,specifications,GENERAL INFO,1,8,cycle_life,,循环寿命,,1,,,6000 次循环，≥70%SOH,,,,,,JE-1000F,,,循环寿命,,,循环寿命,,,循环寿命,,,zh
JE-1000F_CN,CN,TRUE,specifications,INPUT PORTS,2,1,ac_input,,1 x AC,,1,,,220V-240V ~ 50Hz，最大10A,,,,,,JE-1000F,,,1 x AC,,,1 x AC,,,1 x AC,,,zh
JE-1000F_CN,CN,TRUE,specifications,INPUT PORTS,2,2,dc8020_ports,,2 × DC（DC8020）,,1,光伏,,16V-60V⎓12A，双路最大21A/最大800W,,,,,,JE-1000F,,,2 × DC（DC8020）,,,2 × DC（DC8020）,,,2 × DC（DC8020）,,,zh
JE-1000F_CN,CN,TRUE,specifications,INPUT PORTS,2,2,dc8020_ports,,2 × DC（DC8020）,,2,车充,,11V-16V⎓最大8A，双路最大8A,,,,,,JE-1000F,,,2 × DC（DC8020）,,,2 × DC（DC8020）,,,2 × DC（DC8020）,,,zh
JE-1000F_CN,CN,FALSE,specifications,INPUT PORTS,2,3,battery_pack_connection_port,,加电包连接端口,,1,,,36.8V-57.6V，最大75A,,,,,,JE-1000F,,,加电包连接端口,,,加电包连接端口,,,加电包连接端口,,,zh
JE-1000F_CN,CN,TRUE,specifications,OUTPUT PORTS,3,1,ac_output,,2 × AC,,1,,,220V~50Hz，12.5A，额定1500W， 瞬时最大3000W ,,,,,,JE-1000F,,,3 × AC,,,3 × AC,,,3 × AC,,,zh
JE-1000F_CN,CN,FALSE,specifications,OUTPUT PORTS,3,1,ac_output,,2 × AC,,2,,,-,,,,,,JE-1000F,,,3 × AC,,,3 × AC,,,3 × AC,,,zh
