rule_id,lang,deprecated_regex,preferred,allow_regex,note
KO-POWER-BTN,ko,메인 전원 버튼,POWER 버튼,,主键名一律 POWER 버튼(Style Guide K1)
KO-INDICATOR,ko,표시등,표시기,,Indicator 一律 표시기;표시등 仅限实体灯(K2)
KO-GRID,ko,그리드 전력,전력망 전원,상용 전원\(그리드 전력\),grid 统一 전력망 系;仅 UPS 定义句首现括号注释可留(K3)
KO-SIDE-VIEW,ko,[우좌]측 측면 뷰,오른쪽/왼쪽 측면도,,视图标题用 측면도(K6)
KO-OPERATIONS,ko,^작동$,조작,,章节名 OPERATIONS 用 조작(K7)
KO-USER-MANUAL,ko,사용자 매뉴얼,사용자 설명서,,User Manual 用 사용자 설명서(K8)
KO-CHARGING-PLAN,ko,충전 예약,충전 계획,,Charging Plan 用 충전 계획(K9)
KO-SELF-POWERED,ko,자체 전원 모드,자가 발전 모드,,Self-powered Mode 用 자가 발전 모드(K10)
KO-JOSA-DOUBLE,ko,[가-힣]\((은|는|이|가|을|를|와|과)\),按词尾选形的单一助词,\|[A-Z_]+\|,成品中不应出现双助词写法(K11)
JA-CAR-CABLE,ja,車載充電ケーブル,シガーソケット充電ケーブル,,车充线写シガーソケット充電ケーブル;泛称車載充電ケーブル不表明方向(Style Guide J5)
JA-HALFWIDTH-KANA,ja,[\uff61-\uff9f]+,全角片假名,,禁止半角片假名(J21)
JA-LED-BUTTON,ja,LEDスイッチ|(?<!LED)ライトボタン,LEDライトボタン,,LED 按键统一 LEDライトボタン(J4)
JA-DISPLAY,ja,ディスプレー,ディスプレイ,,显示屏统一ディスプレイ(J13)
JA-COMPANY,ja,弊社,当社,,公司自称统一当社(J14)
JA-HONKI,ja,本機(?![能種]),本製品,,产品自称用本製品;本機能/本機種不在此列(J7)
JA-USER-MANUAL,ja,ユーザーマニュアル,取扱説明書,,产品手册称取扱説明書(J9)
JA-APP,ja,(?<![A-Za-z])APP(?![A-Za-z])|Jackery App(?![A-Za-z]),アプリ / Jackeryアプリ,,App 名写 Jackeryアプリ;日文旁 \b 失效故用 ASCII 断言(J10)
JA-RANGE-TILDE,ja,\uff5e,〜(U+301C),,范围符统一 U+301C;交流符号 ~ 不在此列(J23)
JA-SLASH,ja,オン/オフ,オン／オフ,,日文词对斜杠用全角(J24)
JA-CALLOUT-LABEL,ja,^\s*\*\s+-\s+\|?\s*\**(ご注意|備考)\**\s*$,注意(CAUTION)/説明(NOTE),,提示框标签对齐四级分级词;安全上のご注意是章节名不在此列(J16)
JA-BYPASS,ja,バイパス,パススルー,,Bypass 写パススルー(J12)
