document_key,Region,Is_Latest,Page,Section,Section_order,Row_order,Row_key,Slot_key,Row_label_source,Row_label_footnote_refs,Line_order,Param_source,Param_footnote_refs,Value_source,Value_footnote_refs,Row_label_fr,Param_fr,Value_fr,Row_label_es,Model,Param_es,Value_es,Row_label_de,Param_de,Value_de,Row_label_it,Param_it,Value_it,Row_label_uk,Param_uk,Value_uk,Source_lang,Row_label_ko,Param_ko,Value_ko
JBP-2000B_EU,EU,TRUE,operation_guide,SETTINGS,8,1,default_standby_duration,value,Default Standby Duration,,1,,,2 hours,,,,2 heures,,JBP-2000B,,2 horas,,,2 Stunden,,,2 ore,,,2 години,en,,,
JBP-2000B_EU,EU,TRUE,Product overview,OUTPUT PORTS,3,1,dc_expansion_port,side.a.label,DC Expansion Port A,,1,,,DC Expansion Port A,,Port d’extension CC A,,Port d’extension CC A,Puerto de expansión A de CC,JBP-2000B,,Puerto de expansión A de CC,DC-Erweiterungsport A,,DC-Erweiterungsport A,Porta A di espansione CC,,Porta A di espansione CC,Порт розширення DC A,,Порт розширення DC A,en,,,
JBP-2000B_EU,EU,TRUE,Product overview,OUTPUT PORTS,3,1,dc_expansion_port,side.a.spec,DC Expansion Port A,,1,,,(Connect to Expansion Cable Terminal A),,Port d’extension CC A,,(Connexion à la borne A du câble de rallonge),Puerto de expansión A de CC,JBP-2000B,,(Conectar a la Terminal A del Cable de Expansión),DC-Erweiterungsport A,,(Anschluss an Verlängerungskabel Terminal A),Porta A di espansione CC,,(da collegare al Cavo di espansione Terminale A),Порт розширення DC A,,(підключення до клеми A кабелю розширення),en,,,
JBP-2000B_EU,EU,TRUE,Product overview,OUTPUT PORTS,3,2,dc_expansion_port,side.b.label,DC Expansion Port B,,1,,,DC Expansion Port B,,Port d’extension CC B,,Port d’extension CC B,Puerto de expansión B de CC,JBP-2000B,,Puerto de expansión B de CC,DC-Erweiterungsport B,,DC-Erweiterungsport B,Porta B di espansione CC,,Porta B di espansione CC,Порт розширення DC B,,Порт розширення DC B,en,,,
JBP-2000B_EU,EU,TRUE,Product overview,OUTPUT PORTS,3,2,dc_expansion_port,side.b.spec,DC Expansion Port B,,1,,,(Connect to Expansion Cable Terminal B),,Port d’extension CC B,,(Connexion à la borne B du câble de rallonge),Puerto de expansión B de CC,JBP-2000B,,(Conectar a la Terminal B del Cable de Expansión),DC-Erweiterungsport B,,(Anschluss an Verlängerungskabel Terminal B),Porta B di espansione CC,,(da collegare al Cavo di espansione Terminale B),Порт розширення DC B,,(підключення до клеми B кабелю розширення),en,,,
JBP-2000B_EU,EU,TRUE,Product overview,CONTROLS,7,1,main_power_button,label,POWER button,,1,,,POWER button,,Bouton d’alimentation principale,,Bouton d’alimentation principale,Botón de encendido principal,JBP-2000B,,Botón de encendido principal,Hauptschalter,,Hauptschalter,Pulsante Power principale,,Pulsante Power principale,Кнопка POWER,,Кнопка POWER,en,,,
JBP-2000B_EU,EU,TRUE,specifications,GENERAL INFO,1,1,product_name,,Product Name,,1,,,Jackery Battery Pack 2000,,Nom du produit,,Jackery Battery Pack 2000,Nombre del producto,JBP-2000B,,Jackery Battery Pack 2000,Produktname,,Jackery Battery Pack 2000,Nome del prodotto,,Jackery Battery Pack 2000,Назва продукту,,Jackery Battery Pack 2000,en,,,
JBP-2000B_EU,EU,TRUE,specifications,GENERAL INFO,1,2,model_no,,Model No.,,1,,,JBP-2000B,,N° modèle,,JBP-2000B,N° de modelo,JBP-2000B,,JBP-2000B,Modell-Nr.,,JBP-2000B,Modello n.,,JBP-2000B,№ моделі,,JBP-2000B,en,,,
JBP-2000B_EU,EU,TRUE,specifications,GENERAL INFO,1,3,capacity,,Capacity,,1,,,2048 Wh (40 Ah/51.2 V ⎓),,Capacité,,"2048 Wh (40 Ah/51,2 V ⎓)",Capacidad,JBP-2000B,,"2048 Wh (40 Ah/51,2 V ⎓)",Kapazität,,"40 Ah / 51,2 V ⎓ (2048 Wh)",Capacità,,"40 Ah / 51,2 V ⎓ (2048 Wh)",Ємність,,"2048 Вт-год (40 A-год/51,2 В ⎓)",en,,,
JBP-2000B_EU,EU,TRUE,specifications,GENERAL INFO,1,4,cell_chemistry,,Cell Chemistry,,1,,,LiFePO₄,,Cellule Chimique,,LiFePO₄,Química Celular,JBP-2000B,,LiFePO₄,Zellchemie,,LiFePO₄,Chimica celle batteria,,LiFePO₄,Хімічний склад елемента,,LiFePO₄,en,,,
JBP-2000B_EU,EU,TRUE,specifications,GENERAL INFO,1,5,weight,,Weight,,1,,,About 14.8 kg,,Poids,,"Environ 14,8 kg",Peso,JBP-2000B,,"Aproximadamente 14,8 kg",Gewicht,,"Ca. 14,8 kg",Peso,,"Circa 14,8 kg",Вага,,"Близько 14,8 кг",en,,,
JBP-2000B_EU,EU,TRUE,specifications,GENERAL INFO,1,6,dimensions,,Dimensions,,1,,,36.5 × 25.5 × 19.1 cm,,Dimensions,,"36,5 × 25,5 × 19,1 cm",Dimensiones,JBP-2000B,,"36,5 × 25,5 × 19,1 cm",Abmessungen,,"36,5 × 25,5 × 19,1 cm",Dimensioni,,"36,5 × 25,5 × 19,1 cm",Розміри,,"36,5 × 25,5 × 19,1 см",en,,,
JBP-2000B_EU,EU,TRUE,specifications,GENERAL INFO,1,7,cycle_life,,Cycle Life,,1,,,6000 cycles to 70%+ capacity,,Durée de vie,,Capacité de 6000 cycles à 70 % ou plus,Ciclo de vida,JBP-2000B,,6000 ciclos de carga hasta 70 % + de capacidad,Nutzungsdauer,,6000 Zyklen bei über 70 % Restkapazität,Durata del ciclo,,6000 cycles to 70%+ capacity,Ресурс циклів,,6000 циклів до 70%+ ємності,en,,,
JBP-2000B_EU,EU,TRUE,specifications,INPUT PORTS,2,1,dc_expansion_port,,DC Expansion Port (Input),,1,,,36.8V-57.6V⎓75A Max,,Port d’extension CC (Entrée),,"36,8V-57,6V⎓75A max.",Puerto de Expansión de CC (Entrada),JBP-2000B,,"36,8 V-57,6 V⎓75 A Máx.",DC-Erweiterungsanschluss (Eingang),,"36,8 V - 57,6 V ⎓ 75 A max.",Porta di espansione CC (Ingresso),,"36,8 V-57,6 V⎓75 A max.",Порт розширення DC (вхід),,"36,8 V-57,6 V⎓75 A макс.",en,,,
JBP-2000B_EU,EU,TRUE,specifications,OUTPUT PORTS,3,1,dc_expansion_port,,DC Expansion Port (Output),,1,,,36.8V-57.6V⎓75A Max,,Port d’extension CC (Sortie),,"36,8V-57,6V⎓75A max.",Puerto de Expansión de CC (Salida),JBP-2000B,,"36,8 V-57,6 V⎓75 A Máx.",DC-Erweiterungsanschluss (Ausgang),,"36,8 V - 57,6 V ⎓ 75 A max.",Porta di espansione CC (Uscita),,"36,8 V-57,6 V⎓75 A max.",Порт розширення DC (вихід),,"36,8 V-57,6 V⎓75 A макс.",en,,,
JBP-2000B_EU,EU,TRUE,specifications,ENVIRONMENTAL OPERATING TEMPERATURE,4,1,charging_temperature,,Charge Temperature,,1,,,-10°C to 45°C,,Température de charge,,-10°C à 45°C,Temperatura de carga,JBP-2000B,,-10°C a 45°C,Ladetemperatur,,-10°C und 45°C,Temperatura di carica,,da -10 °C a 45 °C,Температура заряджання,,від -10 °C до 45 °C,en,,,
JBP-2000B_EU,EU,TRUE,specifications,ENVIRONMENTAL OPERATING TEMPERATURE,4,2,discharging_temperature,,Discharge Temperature,,1,,,-10°C to 45°C,,Température de décharge,,-10°C à 45°C,Temperatura de descarga,JBP-2000B,,-10°C a 45°C,Entladetemperatur,,-10°C und 45°C,Temperatura di scarica,,da -10 °C a 45 °C,Температура розряджання,,від -10 °C до 45 °C,en,,,
