document_key,Region,Is_Latest,Page,Section,Section_order,Row_order,Row_key,Slot_key,Row_label_source,Row_label_footnote_refs,Line_order,Param_source,Param_footnote_refs,Value_source,Value_footnote_refs,Row_label_fr,Param_fr,Value_fr,Row_label_es,Model,Param_es,Value_es,Row_label_de,Param_de,Value_de,Row_label_it,Param_it,Value_it,Row_label_uk,Param_uk,Value_uk,Source_lang,Row_label_ko,Param_ko,Value_ko
JBP-3600A_EU,EU,TRUE,operation_guide,SETTINGS,8,1,default_standby_duration,value,Default Standby Duration,,1,,,2 hours,,,,,,JBP-3600A,,,,,,,,,,,,en,,,
JBP-3600A_EU,EU,TRUE,Product overview,OUTPUT PORTS,3,1,dc_expansion_port,side.a.label,DC Expansion Port A,,1,,,DC Expansion Port A,,,,,,JBP-3600A,,,,,,,,,,,,en,,,
JBP-3600A_EU,EU,TRUE,Product overview,OUTPUT PORTS,3,1,dc_expansion_port,side.a.spec,DC Expansion Port A,,1,,,(Connect to Expansion Cable Terminal A),,,,,,JBP-3600A,,,,,,,,,,,,en,,,
JBP-3600A_EU,EU,TRUE,Product overview,OUTPUT PORTS,3,2,dc_expansion_port,side.b.label,DC Expansion Port B,,1,,,DC Expansion Port B,,,,,,JBP-3600A,,,,,,,,,,,,en,,,
JBP-3600A_EU,EU,TRUE,Product overview,OUTPUT PORTS,3,2,dc_expansion_port,side.b.spec,DC Expansion Port B,,1,,,(Connect to Expansion Cable Terminal B),,,,,,JBP-3600A,,,,,,,,,,,,en,,,
JBP-3600A_EU,EU,TRUE,Product overview,CONTROLS,7,1,main_power_button,label,POWER button,,1,,,POWER button,,,,,,JBP-3600A,,,,,,,,,,,,en,,,
JBP-3600A_EU,EU,TRUE,specifications,GENERAL INFO,1,1,product_name,,Product Name,,1,,,Jackery Battery Pack 3600,,,,,,JBP-3600A,,,,,,,,,,,,en,,,
JBP-3600A_EU,EU,TRUE,specifications,GENERAL INFO,1,2,model_no,,Model No.,,1,,,JBP-3600A,,,,,,JBP-3600A,,,,,,,,,,,,en,,,
JBP-3600A_EU,EU,TRUE,specifications,GENERAL INFO,1,3,capacity,,Capacity,,1,,,80 Ah/44.8 V DC (3584 Wh),,,,,,JBP-3600A,,,,,,,,,,,,en,,,
JBP-3600A_EU,EU,TRUE,specifications,GENERAL INFO,1,4,cell_chemistry,,Cell Chemistry,,1,,,LiFePO₄,,,,,,JBP-3600A,,,,,,,,,,,,en,,,
JBP-3600A_EU,EU,TRUE,specifications,GENERAL INFO,1,5,weight,,Weight,,1,,,About 55.1 lbs/25 kg,,,,,,JBP-3600A,,,,,,,,,,,,en,,,
JBP-3600A_EU,EU,TRUE,specifications,GENERAL INFO,1,6,dimensions,,Dimensions,,1,,,14.8 × 12.5 × 9.0 in / 37.5 × 31.7 × 22.9 cm,,,,,,JBP-3600A,,,,,,,,,,,,en,,,
JBP-3600A_EU,EU,TRUE,specifications,GENERAL INFO,1,7,cycle_life,,Cycle Life,,1,,,6000 cycles to 70%+ capacity,,,,,,JBP-3600A,,,,,,,,,,,,en,,,
JBP-3600A_EU,EU,TRUE,specifications,GENERAL INFO,1,8,secondary_li_ion_battery,,Secondary Li-ion Battery,,1,,,IEC: IFpR41/136[14S4P]M/-20+40/90,,,,,,JBP-3600A,,,,,,,,,,,,en,,,
JBP-3600A_EU,EU,TRUE,specifications,INPUT PORTS,2,1,dc_expansion_port,,DC Input,,1,,,36.4V-50.4V⎓60A Max,,,,,,JBP-3600A,,,,,,,,,,,,en,,,
JBP-3600A_EU,EU,TRUE,specifications,OUTPUT PORTS,3,1,dc_expansion_port,,DC Output,,1,,,36.4V-50.4V⎓100A Max,,,,,,JBP-3600A,,,,,,,,,,,,en,,,
JBP-3600A_EU,EU,TRUE,specifications,ENVIRONMENTAL OPERATING TEMPERATURE,4,1,charging_temperature,,Charge Temperature,,1,,,-20°C to 45°C,,,,,,JBP-3600A,,,,,,,,,,,,en,,,
JBP-3600A_EU,EU,TRUE,specifications,ENVIRONMENTAL OPERATING TEMPERATURE,4,2,discharging_temperature,,Discharge Temperature,,1,,,-20°C to 45°C,,,,,,JBP-3600A,,,,,,,,,,,,en,,,
JBP-3600A_EU,EU,TRUE,storage,ENVIRONMENTAL OPERATING TEMPERATURE,4,1,storage_temperature,,Storage Temperature,,1,1 month,,-20°C to 45°C (0-60%RH),,,,,,JBP-3600A,,,,,,,,,,,,en,,,
JBP-3600A_EU,EU,TRUE,storage,ENVIRONMENTAL OPERATING TEMPERATURE,4,1,storage_temperature,,Storage Temperature,,2,3 months,,0°C to 45°C (0-60%RH),,,,,,JBP-3600A,,,,,,,,,,,,en,,,
JBP-3600A_EU,EU,TRUE,storage,ENVIRONMENTAL OPERATING TEMPERATURE,4,1,storage_temperature,,Storage Temperature,,3,12 months,,0°C to 25°C (0-60%RH),,,,,,JBP-3600A,,,,,,,,,,,,en,,,
