symbol_key,Figure,image_path,label_en,aliases_en,text_en,label_fr,aliases_fr,text_fr,label_es,aliases_es,text_es,label_pt-BR,aliases_pt-BR,text_pt-BR,label_de,aliases_de,text_de,label_it,aliases_it,text_it,label_uk,aliases_uk,text_uk,label_jp,aliases_jp,text_jp,label_zh,aliases_zh,text_zh,Is_Latest,Market,block_type,order,Model,Source_lang,notes,label_ko,aliases_ko,text_ko
warning,,templates/word_template/common_assets/symbols/warning_triangle.png,WARNING,WARNING,"Hazardous practices that may result in severe injury, death, and/or property damage.",AVERTISSEMENT,AVERTISSEMENT,"Pratiques dangereuses pouvant entraîner des blessures graves, la mort et/ou des dommages matériels.",ADVERTENCIA,ADVERTENCIA,"Prácticas peligrosas que pueden resultar en lesiones graves, muerte y/o daños a la propiedad.",AVISO,AVISO,,WARNUNG,WARNUNG,"Gefährliche Handlungen, die zu schweren Verletzungen, zum Tod und/oder zu Sachschäden führen können.",AVVERTENZA,AVVERTENZA,"Pratiche pericolose che possono causare lesioni gravi, morte e/o danni materiali.",ПОПЕРЕДЖЕННЯ,ПОПЕРЕДЖЕННЯ,"Небезпечні дії, які можуть призвести до тяжких травм, смерті та/або пошкодження майна.",警告,警告,,警告,警告,,TRUE,Global,signal_row,1,,en,Previous aliases before label mirror cleanup: aliases_es=AVISO; aliases_pt-BR=ADVERTÊNCIA,경고,,
caution,,templates/word_template/common_assets/symbols/warning_triangle.png,CAUTION,CAUTION,Hazardous practices that may result in personal injury and/or property damage.,ATTENTION,ATTENTION,Pratiques dangereuses pouvant entraîner des blessures corporelles et/ou des dommages matériels.,PRECAUCIÓN,PRECAUCIÓN,Prácticas peligrosas que pueden resultar en lesiones personales y/o daños a la propiedad.,CUIDADO,CUIDADO,,VORSICHT,VORSICHT,"Gefährliche Handlungen, die zu Personenschäden und/oder zu Sachschäden führen können.",ATTENZIONE,ATTENZIONE,Pratiche pericolose che possono causare lesioni personali e/o danni materiali.,УВАГА,УВАГА,"Небезпечні дії, які можуть призвести до травмування людей та/або пошкодження майна.",ご注意,ご注意,,注意,注意,,TRUE,Global,signal_row,2,,en,Previous aliases before label mirror cleanup: aliases_es=PRECAUCION; aliases_pt-BR=ATENÇÃO; aliases_jp=注意,주의,,
note,,templates/word_template/common_assets/symbols/mandatory.png,NOTE,NOTE,"Hazardous practices that may result in equipment damage, data loss, performance deterioration, or unanticipated results.",REMARQUE,REMARQUE,"Pratiques dangereuses pouvant entraîner des dommages à l'équipement, une perte de données, une détérioration des performances ou des résultats inattendus.",NOTA,NOTA,"Prácticas peligrosas que pueden resultar en daños en el equipo, pérdida de datos, deterioro del rendimiento o resultados inesperados.",NOTA,NOTA,,HINWEIS,HINWEIS,"Handlungen, die zu Geräteschäden, Datenverlust, Leistungseinbußen oder unerwarteten Ergebnissen führen können.",NOTA,NOTA,"Pratiche che possono causare danni all'apparecchiatura, perdita di dati, deterioramento delle prestazioni o risultati imprevisti.",ПРИМІТКА,ПРИМІТКА,"Дії, які можуть призвести до пошкодження обладнання, втрати даних, погіршення продуктивності або неочікуваних результатів.",備考,備考,,提示,提示,,TRUE,Global,signal_row,3,,en,Previous aliases before label mirror cleanup: aliases_jp=注記; aliases_zh=说明;备注;備註,참고,,
tips,,templates/word_template/common_assets/symbols/mandatory.png,TIP,TIP,Supplements the important information or operation tips in the text.,CONSEIL,CONSEIL,Complète les informations importantes ou les conseils d'utilisation dans le texte.,CONSEJO,CONSEJO,Complementa la información importante o consejos de operación en el texto.,DICA,DICA,,TIPP,TIPP,Ergänzt wichtige Informationen oder Bedienhinweise im Text.,SUGGERIMENTO,SUGGERIMENTO,Integra le informazioni importanti o i consigli operativi nel testo.,ПОРАДА,ПОРАДА,Доповнює важливу інформацію або поради з експлуатації в тексті.,ヒント,ヒント,,提示,小贴士,,TRUE,Global,signal_row,4,,en,Previous aliases before label mirror cleanup: aliases_en=TIPS; aliases_fr=CONSEILS; aliases_es=CONSEJOS; aliases_pt-BR=DICAS; aliases_de=TIPPS; aliases_it=SUGGERIMENTI; aliases_uk=ПОРАДИ; aliases_zh=小提示,팁,,
danger,,,DANGER,DANGER,,DANGER,DANGER,,PELIGRO,PELIGRO,,PERIGO,PERIGO,,GEFAHR,GEFAHR,,PERICOLO,PERICOLO,,НЕБЕЗПЕКА,НЕБЕЗПЕКА,,危険,危険,,危险,危险,,TRUE,Global,signal_row,5,,en,,위험,,
warning_triangle,manual_sources/JBP-3600A/EU/en/phase2/_attachments/symbols/10_warning_triangle_RkOwbJ9j1oUHJgxFEx3cqhVynjb.png,manual_sources/JBP-3600A/EU/en/phase2/_attachments/symbols/10_warning_triangle_RkOwbJ9j1oUHJgxFEx3cqhVynjb.png,,,Warning and Caution Symbols. Must read to alert individuals to potential hazards or risks.,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,EU,table_row,1,JBP-3600A,en,JBP-3600A V2.0-2026-08-04 source-specific English row.,,,
read_manual,manual_sources/JBP-3600A/EU/en/phase2/_attachments/symbols/20_read_manual_VK1Ab1MGIoOHdgx1rkUchOHRntb.png,manual_sources/JBP-3600A/EU/en/phase2/_attachments/symbols/20_read_manual_VK1Ab1MGIoOHdgx1rkUchOHRntb.png,,,Read the user manual before operation.,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,EU,table_row,2,JBP-3600A,en,JBP-3600A V2.0-2026-08-04 source-specific English row.,,,
do_not_dismantle,manual_sources/JBP-3600A/EU/en/phase2/_attachments/symbols/10_do_not_dismantle_Ml7EbCjtYohuKAxWNDUc93UMnVc.png,manual_sources/JBP-3600A/EU/en/phase2/_attachments/symbols/10_do_not_dismantle_Ml7EbCjtYohuKAxWNDUc93UMnVc.png,,,Do not dismantle the product.,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,EU,table_row,3,JBP-3600A,en,JBP-3600A V2.0-2026-08-04 source-specific English row.,,,
no_open_flame,manual_sources/JBP-3600A/EU/en/phase2/_attachments/symbols/20_no_open_flame_SAbnbxa6iohb2rxxk3PcEh8cnuf.png,manual_sources/JBP-3600A/EU/en/phase2/_attachments/symbols/20_no_open_flame_SAbnbxa6iohb2rxxk3PcEh8cnuf.png,,,Keep the product away from fire.,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,EU,table_row,4,JBP-3600A,en,JBP-3600A V2.0-2026-08-04 source-specific English row.,,,
keep_away_from_children,manual_sources/JBP-3600A/EU/en/phase2/_attachments/symbols/30_keep_away_from_children_Nc5NbV2kyoMaTSxvismcAlzbnlh.png,manual_sources/JBP-3600A/EU/en/phase2/_attachments/symbols/30_keep_away_from_children_Nc5NbV2kyoMaTSxvismcAlzbnlh.png,,,Keep away from children.,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,EU,table_row,5,JBP-3600A,en,JBP-3600A V2.0-2026-08-04 source-specific English row.,,,
li_ion,manual_sources/JBP-3600A/EU/en/phase2/_attachments/symbols/40_li_ion_ZEcHbhY0Eo3XOExtXKCcbEVjnpe.png,manual_sources/JBP-3600A/EU/en/phase2/_attachments/symbols/40_li_ion_ZEcHbhY0Eo3XOExtXKCcbEVjnpe.png,,,This symbol indicates that a lithium-ion (Li-ion) battery is inside the product and should be disposed of or recycled properly.,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,EU,table_row,6,JBP-3600A,en,JBP-3600A V2.0-2026-08-04 source-specific English row.,,,
weee,manual_sources/JBP-3600A/EU/en/phase2/_attachments/symbols/50_weee_L9o3bcXq0oSsqdxSX86covnpnle.png,manual_sources/JBP-3600A/EU/en/phase2/_attachments/symbols/50_weee_L9o3bcXq0oSsqdxSX86covnpnle.png,,,"This symbol indicates that the product shall not be disposed of as household waste, and should be delivered to a designated collection facility for recycling. Proper disposal and recycling can help protect the environment. For more information about the disposal and recycling of this product, contact your local community, disposal service, or dealer.",,,,,,,,,,,,,,,,,,,,,,,,,TRUE,EU,table_row,7,JBP-3600A,en,JBP-3600A V2.0-2026-08-04 source-specific English row.,,,
weee2,manual_sources/JBP-3600A/EU/en/phase2/_attachments/symbols/70_weee2_VL7tbeJhHoy9wBxRZIdcygPBnmf.png,manual_sources/JBP-3600A/EU/en/phase2/_attachments/symbols/70_weee2_VL7tbeJhHoy9wBxRZIdcygPBnmf.png,,,"Batteries and accumulators must not be disposed of with household waste.
As a consumer, you are legally required to dispose of all batteries and accumulators at designated collection points, regardless of whether they contain hazardous substances.
Please return used batteries and accumulators to a local collection point, recycling center, or to the retailer where they were purchased. Proper disposal ensures environmentally responsible recycling and prevents potential harm to human health and the environment.",,,,,,,,,,,,,,,,,,,,,,,,,TRUE,EU,table_row,8,JBP-3600A,en,JBP-3600A V2.0-2026-08-04 source-specific English row.,,,
