copy_key,page_id,copy_type,Region,Model,Source_lang,Is_Latest,Version,text_en,text_zh,text_ja,text_fr,text_es,text_pt-BR,text_de,text_it,text_uk,text_ko,notes
product_overview.front_view,03_product_overview,panel_title,ALL,ALL,en,TRUE,V1.0,FRONT VIEW,,,VUE DE FACE,VISTA FRONTAL,,PRODUKTDARSTELLUNG,ASPETTO DEL PRODOTTO,ВИГЛЯД СПЕРЕДУ,,
product_overview.page_title,03_product_overview,page_title,ALL,ALL,en,TRUE,V1.0,PRODUCT OVERVIEW,,,APERÇU DU PRODUIT,DESCRIPCIÓN GENERAL DEL PRODUCTO,,PRODUKTÜBERSICHT,PANORAMICA DEL PRODOTTO,ОГЛЯД ПРОДУКТУ,,
product_overview.part.handle,03_product_overview,part_name,ALL,ALL,en,TRUE,V1.0,Handle,,,,,,,,,,
product_overview.part.lcd,03_product_overview,part_name,ALL,ALL,en,TRUE,V1.0,LCD,,,LCD,LCD,,LCD,LCD,ЖК-дисплей,,
product_overview.part.led_light,03_product_overview,part_name,ALL,ALL,en,TRUE,V1.0,LED Light,,,Lumière LED,Luz LED,,LED-Beleuchtung,LUCE LED,LED LIGHT,,
product_overview.part.led_light_button,03_product_overview,part_name,ALL,ALL,en,TRUE,V1.0,LED Light Button,,,Bouton lumière LED,Botón de luz LED,,LED-Licht-Taste,Pulsante luce LED,Кнопка LED-ліхтаря,,
product_overview.right_side_view,03_product_overview,panel_title,ALL,ALL,en,TRUE,V1.0,RIGHT SIDE VIEW,,,VUE LATÉRALE DROITE,VISTA LATERAL DERECHA,,RECHTE SEITENANSICHT,VISTA LATERALE DESTRA,ВИГЛЯД СПРАВА,,
lcd_icons.page_title,lcd_icons,page_title,ALL,ALL,en,TRUE,V1.0,LCD DISPLAY,,,AFFICHAGE LCD,PANTALLA LCD,,LCD-ANZEIGE,DISPLAY LCD,ЖК-ДИСПЛЕЙ,,
spec.page_title,specifications,page_title,ALL,ALL,en,TRUE,V1.0,SPECIFICATIONS,,,SPÉCIFICATIONS,ESPECIFICACIONES,,TECHNISCHE DATEN,SPECIFICHE TECNICHE,ТЕХНІЧНІ ХАРАКТЕРИСТИКИ,,migrated from 03_内容源_多语言标题
spec.section.environmental_operating_temperature,specifications,section_title,ALL,ALL,en,TRUE,V1.0,ENVIRONMENTAL OPERATING TEMPERATURE,,,TEMPÉRATURE DE FONCTIONNEMENT,TEMPERATURA DE FUNCIONAMIENTO,,ENVIRONMENTAL OPERATING TEMPERATURE,ENVIRONMENTAL OPERATING TEMPERATURE,РОБОЧА ТЕМПЕРАТУРА НАВКОЛИШНЬОГО СЕРЕДОВИЩА,,migrated from 03_内容源_多语言标题
spec.section.general_info,specifications,section_title,ALL,ALL,en,TRUE,V1.0,GENERAL INFO,,,INFORMATIONS GÉNÉRALES,INFORMACIÓN GENERAL,,ALLGEMEINE INFORMATIONEN,INFORMAZIONI GENERALI,ЗАГАЛЬНА ІНФОРМАЦІЯ,,migrated from 03_内容源_多语言标题
spec.section.input_ports,specifications,section_title,ALL,ALL,en,TRUE,V1.0,INPUT PORTS,,,PORTS D’ENTRÉE,PUERTOS DE ENTRADA,,EINGANGSANSCHLÜSSE,PORTE IN INGRESSO,ВХІДНІ ПОРТИ,,migrated from 03_内容源_多语言标题
