spec_row_key,document_key,Model,Region,Source_lang,Version,Is_Latest,Page,Section,Section_order,Row_order,Row_key,Slot_key,Row_label_source,Row_label_footnote_refs,Line_order,Param_source,Param_footnote_refs,Value_source,Value_footnote_refs,Row_label_fr,Param_fr,Value_fr,Row_label_es,Param_es,Value_es,Row_label_br,Param_br,Value_br,Row_label_de,Param_de,Value_de,Row_label_it,Param_it,Value_it,Row_label_uk,Param_uk,Value_uk,Row_label_ko,Param_ko,Value_ko
JE-1000H_EU__v2.0__operation_guide__s08__r01__default_standby_duration__value__l01,JE-1000H_EU,JE-1000H,EU,en,2.0,TRUE,operation_guide,SETTINGS,8,1,default_standby_duration,value,Default Standby Duration,,1,,,2 hours,,,,,,,,,,,,,,,,,,,,,,
JE-1000H_EU__v2.0__operation_guide__s08__r02__energy_saving_auto_off_duration__value__l01,JE-1000H_EU,JE-1000H,EU,en,2.0,TRUE,operation_guide,SETTINGS,8,2,energy_saving_auto_off_duration,value,Energy Saving Auto Off Duration,,1,,,12 hours,,,,,,,,,,,,,,,,,,,,,,
JE-1000H_EU__v2.0__operation_guide__s08__r03__energy_saving_ac_threshold__value__l01,JE-1000H_EU,JE-1000H,EU,en,2.0,TRUE,operation_guide,SETTINGS,8,3,energy_saving_ac_threshold,value,Energy Saving AC Threshold,,1,,,25 W,,,,,,,,,,,,,,,,,,,,,,
JE-1000H_EU__v2.0__operation_guide__s08__r04__energy_saving_dc_threshold__value__l01,JE-1000H_EU,JE-1000H,EU,en,2.0,TRUE,operation_guide,SETTINGS,8,4,energy_saving_dc_threshold,value,Energy Saving DC Threshold,,1,,,2 W,,,,,,,,,,,,,,,,,,,,,,
JE-1000H_EU__v2.0__Product_overview__s02__r01__dc_input__side.car.spec__l01,JE-1000H_EU,JE-1000H,EU,en,2.0,TRUE,Product overview,INPUT PORTS,2,1,dc_input,side.car.spec,Car Input,,1,,,"Car: 11V-16V⎓8A Max, Double to 8A Max",,,,,,,,,,,,,,,,,,,,,,
JE-1000H_EU__v2.0__Product_overview__s02__r01__dc_input__side.label__l01,JE-1000H_EU,JE-1000H,EU,en,2.0,TRUE,Product overview,INPUT PORTS,2,1,dc_input,side.label,DC Input (2×DC8020 Ports),,1,,,DC Input (2 × DC8020 Ports),,,,,,,,,,,,,,,,,,,,,,
JE-1000H_EU__v2.0__Product_overview__s02__r01__dc_input__side.pv.spec__l01,JE-1000H_EU,JE-1000H,EU,en,2.0,TRUE,Product overview,INPUT PORTS,2,1,dc_input,side.pv.spec,PV Input,,1,,,"PV: 16V-60V⎓12A, Double to 21A Max/400W Max",,,,,,,,,,,,,,,,,,,,,,
JE-1000H_EU__v2.0__Product_overview__s02__r02__ac_input__side.label__l01,JE-1000H_EU,JE-1000H,EU,en,2.0,TRUE,Product overview,INPUT PORTS,2,2,ac_input,side.label,AC Input,,1,,,AC Input,,,,,,,,,,,,,,,,,,,,,,
JE-1000H_EU__v2.0__Product_overview__s02__r02__ac_input__side.spec__l01,JE-1000H_EU,JE-1000H,EU,en,2.0,TRUE,Product overview,INPUT PORTS,2,2,ac_input,side.spec,AC Input,,1,,,"220V-240V~50Hz, 10A Max",,,,,,,,,,,,,,,,,,,,,,
JE-1000H_EU__v2.0__Product_overview__s03__r01__dc12_port__front.label__l01,JE-1000H_EU,JE-1000H,EU,en,2.0,TRUE,Product overview,OUTPUT PORTS,3,1,dc12_port,front.label,DC 12V Port,,1,,,DC 12 V Port,,,,,,,,,,,,,,,,,,,,,,
JE-1000H_EU__v2.0__Product_overview__s03__r01__dc12_port__front.spec__l01,JE-1000H_EU,JE-1000H,EU,en,2.0,TRUE,Product overview,OUTPUT PORTS,3,1,dc12_port,front.spec,DC 12V Port,,1,,,12V⎓10A Max,,,,,,,,,,,,,,,,,,,,,,
JE-1000H_EU__v2.0__Product_overview__s03__r02__usb_c__front.high.label__l01,JE-1000H_EU,JE-1000H,EU,en,2.0,TRUE,Product overview,OUTPUT PORTS,3,2,usb_c,front.high.label,USB-C 100W Output,,1,,,USB-C 140W Output,,,,,,,,,,,,,,,,,,,,,,
JE-1000H_EU__v2.0__Product_overview__s03__r02__usb_c__front.high.spec__l01,JE-1000H_EU,JE-1000H,EU,en,2.0,TRUE,Product overview,OUTPUT PORTS,3,2,usb_c,front.high.spec,USB-C 100W Output,,1,,,"140W Max, 5V⎓3A, 9V⎓3A, 12V⎓3A, 15V⎓3A, 20V⎓5A, 28V⎓5A",,,,,,,,,,,,,,,,,,,,,,
JE-1000H_EU__v2.0__Product_overview__s03__r02__usb_c__front.low.label__l01,JE-1000H_EU,JE-1000H,EU,en,2.0,TRUE,Product overview,OUTPUT PORTS,3,2,usb_c,front.low.label,USB-C 30W Output,,1,,,USB-C 30 W Output,,,,,,,,,,,,,,,,,,,,,,
JE-1000H_EU__v2.0__Product_overview__s03__r02__usb_c__front.low.spec__l01,JE-1000H_EU,JE-1000H,EU,en,2.0,TRUE,Product overview,OUTPUT PORTS,3,2,usb_c,front.low.spec,USB-C 30W Output,,1,,,"30W Max, 5V⎓3A, 9V⎓3A, 12V⎓2.5A, 15V⎓2A, 20V⎓1.5A",,,,,,,,,,,,,,,,,,,,,,
JE-1000H_EU__v2.0__Product_overview__s03__r03__usb_a__front.label__l01,JE-1000H_EU,JE-1000H,EU,en,2.0,TRUE,Product overview,OUTPUT PORTS,3,3,usb_a,front.label,USB-A 18W Output,,1,,,USB-A 18 W Output,,,,,,,,,,,,,,,,,,,,,,
JE-1000H_EU__v2.0__Product_overview__s03__r03__usb_a__front.spec__l01,JE-1000H_EU,JE-1000H,EU,en,2.0,TRUE,Product overview,OUTPUT PORTS,3,3,usb_a,front.spec,USB-A 18W Output,,1,,,"18W Max, 5-6V⎓3A, 6-9V⎓2A, 9-12V⎓1.5A",,,,,,,,,,,,,,,,,,,,,,
JE-1000H_EU__v2.0__Product_overview__s03__r04__ac_output__front.label__l01,JE-1000H_EU,JE-1000H,EU,en,2.0,TRUE,Product overview,OUTPUT PORTS,3,4,ac_output,front.label,AC Output,,1,,,AC Output,,,,,,,,,,,,,,,,,,,,,,
JE-1000H_EU__v2.0__Product_overview__s03__r04__ac_output__front.spec__l01,JE-1000H_EU,JE-1000H,EU,en,2.0,TRUE,Product overview,OUTPUT PORTS,3,4,ac_output,front.spec,AC Output,,1,,,"230V~50Hz, 7.83A, 1800W Rated",,,,,,,,,,,,,,,,,,,,,,
JE-1000H_EU__v2.0__Product_overview__s03__r05__total_output__front.label__l01,JE-1000H_EU,JE-1000H,EU,en,2.0,TRUE,Product overview,OUTPUT PORTS,3,5,total_output,front.label,Total Output,,1,,,Total Output,,,,,,,,,,,,,,,,,,,,,,
JE-1000H_EU__v2.0__Product_overview__s03__r05__total_output__front.spec__l01,JE-1000H_EU,JE-1000H,EU,en,2.0,TRUE,Product overview,OUTPUT PORTS,3,5,total_output,front.spec,Total Output,,1,,,"1800W Rated, 3600W Surge Peak",,,,,,,,,,,,,,,,,,,,,,
JE-1000H_EU__v2.0__Product_overview__s07__r01__main_power_button__label__l01,JE-1000H_EU,JE-1000H,EU,en,2.0,TRUE,Product overview,CONTROLS,7,1,main_power_button,label,Power Button,,1,,,Power Button,,,,,,,,,,,,,,,,,,,,,,
