symbol_key,Figure,image_path,label_en,aliases_en,text_en,label_fr,aliases_fr,text_fr,label_es,aliases_es,text_es,label_pt-BR,aliases_pt-BR,text_pt-BR,label_de,aliases_de,text_de,label_it,aliases_it,text_it,label_uk,aliases_uk,text_uk,label_jp,aliases_jp,text_jp,label_zh,aliases_zh,text_zh,label_ko,aliases_ko,text_ko,Is_Latest,Market,block_type,order,Model,Source_lang,notes
warning,,,WARNING,WARNING,"Hazardous practices that may result in severe injury, death, and/or property damage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,Global,signal_row,1,,en,Previous aliases before label mirror cleanup: aliases_es=AVISO; aliases_pt-BR=ADVERTÊNCIA
caution,,,CAUTION,CAUTION,Hazardous practices that may result in personal injury and/or property damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,Global,signal_row,2,,en,Previous aliases before label mirror cleanup: aliases_es=PRECAUCION; aliases_pt-BR=ATENÇÃO; aliases_jp=注意
note,,,NOTE,NOTE,"Hazardous practices that may result in equipment damage, data loss, performance deterioration, or unanticipated results.",,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,Global,signal_row,3,,en,Previous aliases before label mirror cleanup: aliases_jp=注記; aliases_zh=说明;备注;備註
tips,,,TIP,TIP,Supplements the important information or operation tips in the text.,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,Global,signal_row,4,,en,Previous aliases before label mirror cleanup: aliases_en=TIPS; aliases_fr=CONSEILS; aliases_es=CONSEJOS; aliases_pt-BR=DICAS; aliases_de=TIPPS; aliases_it=SUGGERIMENTI; aliases_uk=ПОРАДИ; aliases_zh=小提示
warning_triangle,,,,,Warning and Caution Symbols. Must read to alert individuals to potential hazards or risks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,"US, EU, pt-BR, AU, KR",table_row,1,JE-1000H,en,
read_manual,,,,,Read the user manual before operation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,"US, EU, pt-BR, AU, KR",table_row,2,JE-1000H,en,
do_not_dismantle,,,,,Do not dismantle the product.,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,"US, EU, pt-BR, AU, KR",table_row,3,JE-1000H,en,
no_open_flame,,,,,Keep the product away from fire.,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,"US, EU, pt-BR, AU, KR",table_row,4,JE-1000H,en,
keep_away_from_children,,,,,Keep away from children.,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,"US, EU, pt-BR, AU, KR",table_row,5,JE-1000H,en,
li_ion,,,,,This symbol indicates that a lithium-ion (Li-ion) battery is inside the product and should be disposed of or recycled properly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,"US, EU, pt-BR, AU, KR",table_row,6,JE-1000H,en,
weee,,,,,"This symbol indicates that the product shall not be disposed of as household waste, and should be delivered to a designated collection facility for recycling. Proper disposal and recycling can help protect the environment. For more information about the disposal and recycling of this product, contact your local community, disposal service, or dealer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,"US, EU, pt-BR, AU, KR",table_row,7,JE-1000H,en,
