spec_row_key,document_key,Model,Region,Source_lang,Version,Is_Latest,Page,Section,Section_order,Row_order,Row_key,Slot_key,Row_label_source,Row_label_footnote_refs,Line_order,Param_source,Param_footnote_refs,Value_source,Value_footnote_refs,Row_label_fr,Param_fr,Value_fr,Row_label_es,Param_es,Value_es,Row_label_br,Param_br,Value_br,Row_label_de,Param_de,Value_de,Row_label_it,Param_it,Value_it,Row_label_uk,Param_uk,Value_uk,Row_label_ko,Param_ko,Value_ko
JE-2000E_EU__v1.0__Product_overview__s02__r01__dc_input__side.car.spec__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,Product overview,INPUT PORTS,2,1,dc_input,side.car.spec,Car Input,,1,,,"Car: 11-16 V⎓8 A max., Double to 8 A max.",,,,"Véhicule : 11-16 V⎓8 A max., Double à 8 A max.",,,"Vehículo: 11-16 V⎓8 A máx., Doble hasta 8 A máx.",Car Input,,,,,"Auto: 11–16 V⎓8 A max., bei Verwendung beider Eingänge bis zu 8 A max.",,,"Auto: 11-16 V⎓8 A max., fino a 8 A max. con doppio ingresso",,,"Автомобіль: 11-16 В⎓8 A макс., подв. до 8 A макс.",,,
JE-2000E_EU__v1.0__Product_overview__s02__r01__dc_input__side.label__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,Product overview,INPUT PORTS,2,1,dc_input,side.label,DC Input (2×DC8020 Ports),,1,,,DC Input (2×DC8020 Ports),,,,Entrée CC (2×ports DC8020),,,Entrada de CC (2×Puertos DC8020),DC Input (2×DC8020 Ports),,,,,DC-Eingang (2×DC8020-Anschlüsse),,,Ingresso DC (2×porte DC8020),,,Вхід постійного струму (2 порти DC8020),,,
JE-2000E_EU__v1.0__Product_overview__s02__r01__dc_input__side.pv.spec__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,Product overview,INPUT PORTS,2,1,dc_input,side.pv.spec,PV Input,,1,,,"PV: 16-60 V⎓12 A max., Double to 21 A / 800 W max.",,,,"PV : 16-60 V⎓12 A max., Double à 21 A / 800 W max.",,,"PV: 16-60 V⎓12 A máx., Doble hasta 21 A / 800 W máx.",PV Input,,,,,"PV: 16–60 V⎓12 A max., bei Verwendung beider Eingänge bis zu 21 A / 800 W max.",,,"PV: 16-60 V⎓12 A max., fino a 21 A / 800 W max. con doppio ingresso",,,"PV: 16-60 В⎓12 A макс., подв. до 21 A / 800 Вт макс.",,,
JE-2000E_EU__v1.0__Product_overview__s02__r02__ac_input__side.label__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,Product overview,INPUT PORTS,2,2,ac_input,side.label,AC Input,,1,,,AC Input,,,,Entrée CA,,,Entrada de CA,AC Input,,,,,AC-Eingang,,,Ingresso CA,,,Вхід змінного струму,,,
JE-2000E_EU__v1.0__Product_overview__s02__r02__ac_input__side.spec__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,Product overview,INPUT PORTS,2,2,ac_input,side.spec,AC Input,,1,,,"220 V-240 V~ 50 Hz, 10 A max.",,,,"220 V-240 V~ 50 Hz, 10 A max.",,,"220 V-240 V~ 50 Hz, 10 A máx.",AC Input,,,,,"220 V-240 V~ 50 Hz, 10 A max.",,,"220 V-240 V~ 50 Hz, 10 A max.",,,"220 В-240 В~ 50 Гц, 10 A макс.",,,
JE-2000E_EU__v1.0__Product_overview__s03__r01__dc12_port__front.label__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,1,dc12_port,front.label,DC 12V Port,,1,,,DC 12 V Port,,,,Port 12 V CC,,,Puerto DC 12 V,DC 12V Port,,,,,12-V-DC-Anschluss,,,Porta 12 V CC,,,Порт DC 12 В,,,
JE-2000E_EU__v1.0__Product_overview__s03__r01__dc12_port__front.spec__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,1,dc12_port,front.spec,DC 12V Port,,1,,,12 V⎓10 A max.,,,,12 V⎓10 A max.,,,12 V⎓10 A máx.,DC 12V Port,,,,,12 V⎓10 A max.,,,12 V⎓10 A max.,,,12 В⎓10 А макс.,,,
JE-2000E_EU__v1.0__Product_overview__s03__r02__usb_c__front.high.label__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,2,usb_c,front.high.label,USB-C 100W Output,,1,,,USB-C 140 W Output,,,,Sortie USB-C 140 W,,,Salida USB-C de 100 W,USB-C 100W Output,,,,,USB-C 140 W-Ausgang,,,Uscita USB-C da 140 W,,,Вихід USB-C 140 Вт,,,
JE-2000E_EU__v1.0__Product_overview__s03__r02__usb_c__front.high.spec__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,2,usb_c,front.high.spec,USB-C 100W Output,,1,,,"140 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A, 28 V⎓5 A",,,,"140 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A, 28 V⎓5 A",,,"140 W máx., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A, 28 V⎓5 A",USB-C 100W Output,,,,,"140 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A, 28 V⎓5 A",,,"140 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A, 28 V⎓5 A",,,"140 Вт макс., 5 В⎓3 A, 9 В⎓3 A, 12 В⎓3 A, 15 В⎓3 A, 20 В⎓5 A, 28 В⎓5 A",,,
JE-2000E_EU__v1.0__Product_overview__s03__r02__usb_c__front.low.label__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,2,usb_c,front.low.label,USB-C 30W Output,,1,,,USB-C 30 W Output,,,,Sortie USB-C 30 W,,,Salida USB-C de 30 W,USB-C 30W Output,,,,,USB-C 30 W-Ausgang,,,Uscita USB-C 30 W,,,Вихід USB-C 30 Вт,,,
JE-2000E_EU__v1.0__Product_overview__s03__r02__usb_c__front.low.spec__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,2,usb_c,front.low.spec,USB-C 30W Output,,1,,,"30 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓2.5 A, 15 V⎓2 A, 20 V⎓1.5 A",,,,"30 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓2,5 A, 15 V⎓2 A, 20 V⎓1,5 A",,,"30 W máx., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓2,5 A, 15 V⎓2 A, 20 V⎓1,5 A",USB-C 30W Output,,,,,"30 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓2,5 A, 15 V⎓2 A, 20 V⎓1,5 A",,,"30 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓2,5 A, 15 V⎓2 A, 20 V⎓1,5 A",,,"30 Вт макс., 5 В⎓3 A, 9 В⎓3 A, 12 В⎓2,5 A, 15 В⎓2 A, 20 В⎓1,5 A",,,
JE-2000E_EU__v1.0__Product_overview__s03__r03__usb_a__front.label__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,3,usb_a,front.label,USB-A 18W Output,,1,,,USB-A 18 W Output,,,,Sortie USB-A 18 W,,,Salida USB-A 18 W,USB-A 18W Output,,,,,USB-A 18 W-Ausgang,,,Uscita USB-A 18 W,,,Вихід USB-A 18 Вт,,,
JE-2000E_EU__v1.0__Product_overview__s03__r03__usb_a__front.spec__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,3,usb_a,front.spec,USB-A 18W Output,,1,,,"18 W max., 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1.5 A",,,,"18 W max., 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1,5 A",,,"18 W máx., 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1,5 A",USB-A 18W Output,,,,,"18 W max., 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1,5 A",,,"18 W max., 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1,5 A",,,"18 Вт макс., 5-6 В⎓3 A, 6-9 В⎓2 A, 9-12 В⎓1,5 A",,,
JE-2000E_EU__v1.0__Product_overview__s03__r04__ac_output__front.label__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,4,ac_output,front.label,AC Output,,1,,,AC Output,,,,Sortie AC,,,Salida de CA,AC Output,,,,,AC-Ausgang,,,Uscita CA,,,Вихід змінного струму,,,
JE-2000E_EU__v1.0__Product_overview__s03__r04__ac_output__front.spec__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,4,ac_output,front.spec,AC Output,,1,,,"230 V~ 50 Hz, 10 A max., 2400 W Rated",,,,"230 V~ 50 Hz, 10 A max., 2400 W Nominal",,,"230 V~ 50 Hz, 10 A máx., 2400 W Nominal",AC Output,,,,,"230 V~ 50 Hz, 10 A max., 2400 W Nennleistung",,,"230 V~ 50 Hz, 10 A max., 2400 W nominali",,,"230 В~ 50 Гц, 10 A макс., 2400 Вт ном. потужності",,,
JE-2000E_EU__v1.0__Product_overview__s03__r05__total_output__front.label__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,5,total_output,front.label,Total Output,,1,,,Total Output,,,,Sortie totale,,,Salida Total,Total Output,,,,,Gesamtausgang,,,Uscita totale,,,Загальна вихідна потужність,,,
JE-2000E_EU__v1.0__Product_overview__s03__r05__total_output__front.spec__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,5,total_output,front.spec,Total Output,,1,,,"2400 W Rated, 4800 W Surge Peak",,,,"2400 W Nominal, 4800 W crête",,,"2400 W de potencia nominal, 4800 W de pico de sobrecarga",Total Output,,,,,"2400 W Nennleistung, 4800 W Spitzenleistung (Surge)",,,"2400 W nominali, 4800 W di picco",,,"Номінальна потужність 2400 Вт, пікова потужність 4800 Вт",,,
JE-2000E_EU__v1.0__Product_overview__s07__r01__main_power_button__label__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,Product overview,CONTROLS,7,1,main_power_button,label,Power Button,,1,,,Main POWER Button,,,,Bouton POWER principal,,,Botón POWER principal,Power Button,,,,,Haupt-POWER-Taste,,,Pulsante POWER principale,,,Головна кнопка POWER,,,
JE-2000E_EU__v1.0__Product_overview__s07__r02__dc_usb_power_button__label__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,Product overview,CONTROLS,7,2,dc_usb_power_button,label,DC/USB Power Button,,1,,,DC / USB Power Button,,,,Bouton CC / USB,,,Botón CC / USB,DC/USB Power Button,,,,,DC / USB-Einschalttaste,,,Pulsante DC / USB,,,Кнопка POWER DC / USB,,,
JE-2000E_EU__v1.0__Product_overview__s07__r03__ac_power_button__label__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,Product overview,CONTROLS,7,3,ac_power_button,label,AC Power Button,,1,,,AC Power Button,,,,Bouton CA,,,Botón CA,AC Power Button,,,,,AC-Einschalttaste,,,Pulsante CA,,,Кнопка AC,,,
JE-2000E_EU__v1.0__operation_guide__s08__r01__default_standby_duration__value__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,operation_guide,SETTINGS,8,1,default_standby_duration,value,Default Standby Duration,,1,,,2 hours,,,,2 heures,,,2 horas,Default Standby Duration,,,,,2 Stunden,,,2 ore,,,2 години,,,
JE-2000E_EU__v1.0__operation_guide__s08__r02__energy_saving_auto_off_duration__value__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,operation_guide,SETTINGS,8,2,energy_saving_auto_off_duration,value,Energy Saving Auto Off Duration,,1,,,12 hours,,,,12 heures,,,12 horas,Energy Saving Auto Off Duration,,,,,12 Stunden,,,12 ore,,,12 годин,,,
JE-2000E_EU__v1.0__operation_guide__s08__r03__energy_saving_ac_threshold__value__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,operation_guide,SETTINGS,8,3,energy_saving_ac_threshold,value,Energy Saving AC Threshold,,1,,,25 W,,,,25 W,,,25 W,Energy Saving AC Threshold,,,,,25 W,,,25 W,,,25 Вт,,,
JE-2000E_EU__v1.0__operation_guide__s08__r04__energy_saving_dc_threshold__value__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,operation_guide,SETTINGS,8,4,energy_saving_dc_threshold,value,Energy Saving DC Threshold,,1,,,2 W,,,,2 W,,,2 W,Energy Saving DC Threshold,,,,,2 W,,,2 W,,,2 Вт,,,
JE-2000E_EU__v1.0__specifications__s01__r01__product_name__main__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,specifications,GENERAL INFO,1,1,product_name,,Product Name,,1,,,Jackery Explorer 2000 Plus,,Nom du produit,,Jackery Explorer 2000 Plus,Nombre del producto,,Jackery Explorer 2000 Plus,,,,Produktname,,Jackery Explorer 2000 Plus,Nome del prodotto,,Jackery Explorer 2000 Plus,Назва продукту,,Jackery Explorer 2000 Plus,,,
JE-2000E_EU__v1.0__specifications__s01__r02__model_no__main__l02,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,specifications,GENERAL INFO,1,2,model_no,,Model No.,,2,,,JE-2000E,,N° de modèle,,JE-2000E,N° de modelo,,JE-2000E,,,,Modellnummer,,JE-2000E,Numero di modello,,JE-2000E,Номер моделі,,JE-2000E,,,
JE-2000E_EU__v1.0__specifications__s01__r03__capacity__main__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,specifications,GENERAL INFO,1,3,capacity,,Capacity,,1,,,2048 Wh (40 Ah / 51.2 V DC),,Capacité,,"2048 Wh (40 Ah / 51,2 V CC)",Capacidad,,"2048 Wh (40 Ah / 51,2 V CC)",,,,Kapazität,,"2048 Wh (40 Ah / 51,2 V DC)",Capacità,,"40 Ah / 51,2 V DC (2048 Wh)",Ємність,,"2048 Вт-год (40 A-год / 51,2 В постійного струму)",,,
JE-2000E_EU__v1.0__specifications__s01__r04__cell_chemistry__main__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,specifications,GENERAL INFO,1,4,cell_chemistry,,Cell Chemistry,,1,,,LiFePO₄,,Cellule Chimique,,LiFePO₄,Química Celular,,LiFePO₄,,,,Zellchemie,,LiFePO₄,Chimica celle batteria,,LiFePO₄,Хімічний склад елементів,,LiFePO₄,,,
JE-2000E_EU__v1.0__specifications__s01__r05__weight__main__l01,JE-2000E_EU,JE-2000E,EU,en,1.0,TRUE,specifications,GENERAL INFO,1,5,weight,,Weight,,1,,,About 19.1 kg,,Poids,,"Environ 18,8 kg",Peso,,"Aproximadamente 18,8 kg",,,,Gewicht,,"Etwa 18,8 kg",Peso,,"Circa 18,8 kg",Вага,,"Близько 18,8 кг",,,
