spec_row_key,document_key,Model,Region,Source_lang,Version,Is_Latest,Page,Section,Section_order,Row_order,Row_key,Slot_key,Row_label_source,Row_label_footnote_refs,Line_order,Param_source,Param_footnote_refs,Value_source,Value_footnote_refs,Row_label_fr,Param_fr,Value_fr,Row_label_es,Param_es,Value_es,Row_label_br,Param_br,Value_br,Row_label_de,Param_de,Value_de,Row_label_it,Param_it,Value_it,Row_label_uk,Param_uk,Value_uk,Row_label_ko,Param_ko,Value_ko
JE-2000F_EU__v1.0__operation_guide__s08__r01__default_standby_duration__value__l01,JE-2000F_EU,JE-2000F,EU,en,1.0,TRUE,operation_guide,SETTINGS,8,1,default_standby_duration,value,Default Standby Duration,,1,,,2 hours,,,,2 heures,,,2 horas,,,2 horas,,,2 Stunden,,,2 ore,,,2 години,,,
JE-2000F_EU__v1.0__operation_guide__s08__r02__energy_saving_auto_off_duration__value__l01,JE-2000F_EU,JE-2000F,EU,en,1.0,TRUE,operation_guide,SETTINGS,8,2,energy_saving_auto_off_duration,value,Energy Saving Auto Off Duration,,1,,,12 hours,,,,12 heures,,,12 horas,,,12 horas,,,12 Stunden,,,12 ore,,,12 годин,,,
JE-2000F_EU__v1.0__operation_guide__s08__r03__energy_saving_ac_threshold__value__l01,JE-2000F_EU,JE-2000F,EU,en,1.0,TRUE,operation_guide,SETTINGS,8,3,energy_saving_ac_threshold,value,Energy Saving AC Threshold,,1,,,25 W,,,,25 W,,,25 W,,,25 W,,,25 W,,,25 W,,,25 Вт,,,
JE-2000F_EU__v1.0__operation_guide__s08__r04__energy_saving_dc_threshold__value__l01,JE-2000F_EU,JE-2000F,EU,en,1.0,TRUE,operation_guide,SETTINGS,8,4,energy_saving_dc_threshold,value,Energy Saving DC Threshold,,1,,,2 W,,,,2 W,,,2 W,,,2 W,,,2 W,,,2 W,,,2 Вт,,,
JE-2000F_EU__v1.0__Product_overview__s02__r01__dc_input__side.car.spec__l01,JE-2000F_EU,JE-2000F,EU,en,1.0,TRUE,Product overview,INPUT PORTS,2,1,dc_input,side.car.spec,Car Input,,1,,,"Car: 11-16 V⎓8 A max., Double to 8 A max.",,,,"Véhicule : 11-16 V⎓8 A max., Double à 8 A max.",,,"Vehículo: 11-16 V⎓8 A máx., Doble hasta 8 A máx.",,,"Veicular: 11-16V⎓8A máx., duplo até 8A máx.",,,"Auto: 11–16 V⎓8 A max., bei Verwendung beider Eingänge bis zu 8 A max.",,,"Auto: 11-16 V⎓8 A max., fino a 8 A max. con doppio ingresso",,,"Автомобіль: 11-16 В⎓8 А макс., подв. до 8 А макс.",,,
JE-2000F_EU__v1.0__Product_overview__s02__r01__dc_input__side.label__l01,JE-2000F_EU,JE-2000F,EU,en,1.0,TRUE,Product overview,INPUT PORTS,2,1,dc_input,side.label,DC Input (2×DC8020 Ports),,1,,,DC Input (2×DC8020 Ports),,,,Entrée CC (2×ports DC8020),,,Entrada de CC (2×Puertos DC8020),,,Entrada CC (2 × portas DC8020),,,DC-Eingang (2×DC8020-Anschlüsse),,,Ingresso DC (2×porte DC8020),,,Вхід постійного струму (2 порти DC8020),,,
JE-2000F_EU__v1.0__Product_overview__s02__r01__dc_input__side.pv.spec__l01,JE-2000F_EU,JE-2000F,EU,en,1.0,TRUE,Product overview,INPUT PORTS,2,1,dc_input,side.pv.spec,PV Input,,1,,,"PV: 16-60 V⎓12 A max., Double to 21 A max. / 400 W max.",,,,"PV : 16-60 V⎓12 A max., Double to 21 A max. / 400 W max.",,,"PV: 16-60 V⎓12 A máx., Doble hasta 21 A máx. / 400 W máx.",,,"PV: 16-60V⎓12A máx., duplo até 21A máx. / 400W máx.",,,"PV: 16–60 V⎓12 A max., bei Verwendung beider Eingänge bis zu 21 A max. / 400 W max.",,,"PV: 16-60 V⎓12 A max., fino a 21 A max. / 400 W max. con doppio ingresso",,,"PV: 16-60 В⎓12 А, подв. до 21 А макс. / 400 Вт макс.",,,
JE-2000F_EU__v1.0__Product_overview__s02__r02__ac_input__side.label__l01,JE-2000F_EU,JE-2000F,EU,en,1.0,TRUE,Product overview,INPUT PORTS,2,2,ac_input,side.label,AC Input,,1,,,AC Input,,,,Entrée CA,,,Entrada de CA,,,Entrada CA,,,AC-Eingang,,,Ingresso CA,,,Вхід змінного струму,,,
JE-2000F_EU__v1.0__Product_overview__s02__r02__ac_input__side.spec__l01,JE-2000F_EU,JE-2000F,EU,en,1.0,TRUE,Product overview,INPUT PORTS,2,2,ac_input,side.spec,AC Input,,1,,,"220 V-240 V~ 50 Hz, 10 A max.",,,,"220 V-240 V~ 50 Hz, 10 A max.",,,"220 V-240 V~ 50 Hz, 10 A máx.",,,"220 V-240 V~ 50 Hz, 10 A máx.",,,"220-240 V~ 50 Hz, 10 A max.",,,"220-240 V~ 50 Hz, 10 A max.",,,"220 В-240 В~ 50 Гц, 10 А макс.",,,
JE-2000F_EU__v1.0__Product_overview__s03__r01__dc12_port__front.label__l01,JE-2000F_EU,JE-2000F,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,1,dc12_port,front.label,DC 12V Port,,1,,,DC 12 V Port,,,,Port 12 V CC,,,Puerto CC 12 V,,,Porta CC 12V,,,12-V-DC-Anschluss,,,Porta 12 V CC,,,Порт DC 12 В,,,
