spec_row_key,document_key,Model,Region,Source_lang,Version,Is_Latest,Page,Section,Section_order,Row_order,Row_key,Slot_key,Row_label_source,Row_label_footnote_refs,Line_order,Param_source,Param_footnote_refs,Value_source,Value_footnote_refs,Row_label_fr,Param_fr,Value_fr,Row_label_es,Param_es,Value_es,Row_label_br,Param_br,Value_br,Row_label_de,Param_de,Value_de,Row_label_it,Param_it,Value_it,Row_label_uk,Param_uk,Value_uk,Row_label_ko,Param_ko,Value_ko
JE-3000C_EU__v2.0__operation_guide__s00__r00__default_standby_duration__value__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,operation_guide,SETTINGS,,,default_standby_duration,value,Default Standby Duration,,1,,,2 hours,,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__operation_guide__s00__r00__energy_saving_ac_threshold__value__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,operation_guide,SETTINGS,,,energy_saving_ac_threshold,value,Energy Saving AC Threshold,,1,,,25 W,,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__operation_guide__s00__r00__energy_saving_auto_off_duration__value__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,operation_guide,SETTINGS,,,energy_saving_auto_off_duration,value,Energy Saving Auto Off Duration,,1,,,12 hours,,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__operation_guide__s00__r00__energy_saving_dc_threshold__value__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,operation_guide,SETTINGS,,,energy_saving_dc_threshold,value,Energy Saving DC Threshold,,1,,,2 W,,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__Product_overview__s00__r00__ac_power_button__label__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,Product overview,CONTROLS,,,ac_power_button,label,AC Power Button,,1,,,AC Power Button,,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__Product_overview__s00__r00__dc_usb_power_button__label__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,Product overview,CONTROLS,,,dc_usb_power_button,label,DC/USB Power Button,,1,,,DC / USB Power Button,,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__Product_overview__s00__r00__main_power_button__label__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,Product overview,CONTROLS,,,main_power_button,label,Power Button,,1,,,POWER Button,,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__Product_overview__s00__r00__ac_input__side.label__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,Product overview,INPUT PORTS,,,ac_input,side.label,AC Input,,1,,,AC Input,,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__Product_overview__s00__r00__ac_input__side.spec__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,Product overview,INPUT PORTS,,,ac_input,side.spec,AC Input,,1,,,"220 V-240 V~ 50 Hz, 10 A max.",,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__Product_overview__s00__r00__dc_input__side.car.spec__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,Product overview,INPUT PORTS,,,dc_input,side.car.spec,Car Input,,1,,,"Car: 12-16 V⎓8 A max., Double to 8 A max.",,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__Product_overview__s00__r00__dc_input__side.label__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,Product overview,INPUT PORTS,,,dc_input,side.label,DC Input (2×DC8020 Ports),,1,,,DC Input (2×DC8020 Ports),,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__Product_overview__s00__r00__dc_input__side.pv.spec__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,Product overview,INPUT PORTS,,,dc_input,side.pv.spec,PV Input,,1,,,"PV: 16-60 V⎓12 A max., Double to 24 A max. / 1000 W max.",,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__Product_overview__s00__r00__ac_output__front.label__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,Product overview,OUTPUT PORTS,,,ac_output,front.label,AC Output,,1,,,AC Output,,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__Product_overview__s00__r00__ac_output__front.spec__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,Product overview,OUTPUT PORTS,,,ac_output,front.spec,AC Output,,1,,,"230 V~ 50 Hz, 15.6 A, 3600 W rated",,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__Product_overview__s00__r00__dc12_port__front.label__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,Product overview,OUTPUT PORTS,,,dc12_port,front.label,DC 12V Port,,1,,,DC 12 V Port,,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__Product_overview__s00__r00__dc12_port__front.spec__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,Product overview,OUTPUT PORTS,,,dc12_port,front.spec,DC 12V Port,,1,,,12 V⎓10 A max.,,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__Product_overview__s00__r00__total_output__front.label__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,Product overview,OUTPUT PORTS,,,total_output,front.label,Total Output,,1,,,Total AC Output,,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__Product_overview__s00__r00__total_output__front.spec__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,Product overview,OUTPUT PORTS,,,total_output,front.spec,Total Output,,1,,,"3600 W Rated, 7200 W Surge Peak",,,,,,,,,,,,,,,,,,,,,,
