spec_row_key,document_key,Model,Region,Source_lang,Version,Is_Latest,Page,Section,Section_order,Row_order,Row_key,Slot_key,Row_label_source,Row_label_footnote_refs,Line_order,Param_source,Param_footnote_refs,Value_source,Value_footnote_refs,Row_label_fr,Param_fr,Value_fr,Row_label_es,Param_es,Value_es,Row_label_br,Param_br,Value_br,Row_label_de,Param_de,Value_de,Row_label_it,Param_it,Value_it,Row_label_uk,Param_uk,Value_uk,Row_label_ko,Param_ko,Value_ko
JE-3600A_EU__2026-05-25__operation_guide__s08__r01__default_standby_duration__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,operation_guide,SETTINGS,8,1,default_standby_duration,value,Default Standby Duration,,1,,,2 hours,,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__operation_guide__s08__r02__energy_saving_auto_off_duration__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,operation_guide,SETTINGS,8,2,energy_saving_auto_off_duration,value,Energy Saving Auto Off Duration,,1,,,12 hours,,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__operation_guide__s08__r03__energy_saving_ac_threshold__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,operation_guide,SETTINGS,8,3,energy_saving_ac_threshold,value,Energy Saving Ac Threshold,,1,,,25 W,,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__operation_guide__s08__r04__energy_saving_dc_threshold__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,operation_guide,SETTINGS,8,4,energy_saving_dc_threshold,value,Energy Saving Dc Threshold,,1,,,2 W,,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__Product overview__s01__r01__main_power_button__label__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,Product overview,CONTROLS,1,1,main_power_button,label,Power Button,,1,,,Power Button,,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__Product overview__s01__r02__dc_usb_power_button__label__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,Product overview,CONTROLS,1,2,dc_usb_power_button,label,USB Power Button,,1,,,USB Power Button,,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__Product overview__s01__r03__ac_power_button__label__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,Product overview,CONTROLS,1,3,ac_power_button,label,AC Power Button,,1,,,AC Power Button,,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__Product overview__s02__r04__usb_c__front.spec__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,Product overview,PORTS,2,4,usb_c,front.spec,USB-C 100W Output,,1,,,"100 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A",,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__Product overview__s02__r05__usb_a__front.spec__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,Product overview,PORTS,2,5,usb_a,front.spec,USB-A 18W Output,,1,,,"18 W max., 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1.5 A",,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__Product overview__s02__r06__ac_output__front.spec__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,Product overview,PORTS,2,6,ac_output,front.spec,AC Output,,1,,,"230 V~ 50 Hz, 3600 W",,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__Product overview__s02__r07__total_output__front.spec__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,Product overview,PORTS,2,7,total_output,front.spec,AC Total Output,,1,,,3600 W,,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__Product overview__s02__r08__ac_input__side.spec__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,Product overview,PORTS,2,8,ac_input,side.spec,AC Input,,1,,,"220-240 V~ 50 Hz, 10 A max.",,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__Product overview__s02__r09__dc_input__side.spec__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,Product overview,PORTS,2,9,dc_input,side.spec,DC Input (2×DC8020 Ports),,1,,,"12-16 V⎓8 A max., double to 8 A max.; 16-60 V⎓12 A, double to 24 A max. / 1000 W max.",,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__Product overview__s02__r10__dc_expansion_port__side.spec__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,Product overview,PORTS,2,10,dc_expansion_port,side.spec,DC Expansion Port,,1,,,Connect to Battery Pack,,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__specifications__s01__r01__product_name__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,specifications,GENERAL INFO,1,1,product_name,,Product Name,,1,,,Jackery Explorer 3600 Plus,,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__specifications__s01__r02__model_no__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,specifications,GENERAL INFO,1,2,model_no,,Model No.,,1,,,JE-3600A,,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__specifications__s01__r03__capacity__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,specifications,GENERAL INFO,1,3,capacity,,Capacity,,1,,,80 Ah / 44.8 V DC (3584 Wh),,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__specifications__s01__r04__cell_chemistry__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,specifications,GENERAL INFO,1,4,cell_chemistry,,Cell Chemistry,,1,,,LiFePO₄,,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__specifications__s01__r05__weight__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,specifications,GENERAL INFO,1,5,weight,,Weight,,1,,,About 35 kg,,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__specifications__s01__r06__dimensions__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,specifications,GENERAL INFO,1,6,dimensions,,Dimensions,,1,,,38.5 × 30.9 × 49.1 cm,,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__specifications__s01__r07__cycle_life__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,specifications,GENERAL INFO,1,7,cycle_life,,Cycle Life,,1,,,6000 cycles to 70%+ capacity,,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__specifications__s01__r08__iec_code__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,specifications,GENERAL INFO,1,8,iec_code,,IEC code,,1,,,IFpR41/136[14S4P]M/-20+40/90,,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__specifications__s02__r01__ac_input__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,specifications,INPUT PORTS,2,1,ac_input,,1 × AC Input,,1,Charge Mode,,"220-240 V~ 50 Hz, 10 A max.",,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__specifications__s02__r02__ac_input__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,specifications,INPUT PORTS,2,2,ac_input,,1 × AC Input,,1,Bypass Mode,,"220-240 V~ 50 Hz, 10 A max.",ac_bypass,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__specifications__s02__r03__dc8020_ports__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,specifications,INPUT PORTS,2,3,dc8020_ports,,2 × DC8020 Ports,,1,,,"12-16 V⎓8 A max., double to 8 A max.",,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__specifications__s02__r04__dc8020_ports__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,specifications,INPUT PORTS,2,4,dc8020_ports,,2 × DC8020 Ports,,1,,,"16-60 V⎓12 A, double to 24 A max. / 1000 W max.",,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__specifications__s02__r05__dc_expansion_port__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,specifications,INPUT PORTS,2,5,dc_expansion_port,,1 × DC Expansion Port,,1,,,36.4-50.4 V⎓100 A max.,,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__specifications__s03__r01__ac_output__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,specifications,OUTPUT PORTS,3,1,ac_output,,3 × AC Output,,1,,,"230 V~ 50 Hz, 3600 W",,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__specifications__s03__r02__ac_total_output__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,specifications,OUTPUT PORTS,3,2,ac_total_output,,AC Total Output,,1,,,"3600 W rated, 7200 W surge peak",ac_total,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__specifications__s03__r03__ac_output_bypass__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,specifications,OUTPUT PORTS,3,3,ac_output_bypass,,AC Output in Bypass Mode,,1,,,"220-240 V~ 50 Hz, 10 A max.",,,,,,,,,,,,,,,,,,,,,,
