file,line,symbol_or_context,text,copy_kind,recommended_owner,priority,reason,page_or_surface,content_role,source_lang,source_key,suggested_destination,suggested_identifier,rst_template_option,duplicate_count,operator_decision,operator_notes
tools/csv_pages/renderers_spec_parser.py,626,title_main,SPECIFICATIONS,manual_output,localized_copy,P0,spec page title fallback stored in renderer,specifications,page_title_fallback,,page_title_fallback,Localized_Copy.csv or spec title block,spec.page_title,yes: template title is possible if fixed,1,,
tools/word_bundle_common.py,182,derive_word_title,User Manual,manual_output,config,P0,default Word title stored in code,word_bundle,manual_title,,manual_title,config or Localized_Copy.csv,manual.title.default,no: document metadata/title,1,,
tools/word_bundle_html_rewrite.py,12,_ALERT_LABELS,WARNING,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.warning,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,13,_ALERT_LABELS,CAUTION,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.caution,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,14,_ALERT_LABELS,DANGER,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.danger,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,15,_ALERT_LABELS,NOTE,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.note,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,16,_ALERT_LABELS,TIP,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.tip,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,17,_ALERT_LABELS,TIPS,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.tips,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,18,_ALERT_LABELS,AVERTISSEMENT,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.avertissement,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,19,_ALERT_LABELS,ATTENTION,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.attention,no: shared rewrite detection term,1,,
