项目代码,Region,Is_Latest,Page,Section,Section_order,Row_key,Row_label_en,Line_order,Param_en,Value_en,Row_label_fr,Param_fr,Value_fr,page_title_fr,section_title_fr,Model,Section_original,Section_normalized,Record_category,Normalization_applied,Normalization_note,Source_line,Review_flags,Review_messages
HTE152-US,US,TRUE,specifications,GENERAL INFO,1,product_name,Product Name,1,,Jackery HomePower 2000 Plus v2,,,,,,JHP-2000A,GENERAL INFO,GENERAL INFO,spec,NO,,2,,
HTE152-US,US,TRUE,specifications,GENERAL INFO,1,model_no,Model No.,1,,JHP-2000A,,,,,,JHP-2000A,GENERAL INFO,GENERAL INFO,spec,NO,,3,,
HTE152-US,US,TRUE,specifications,BATTERY,5,field_001,Rated Capacity,1,,2048Wh,,,,,,JHP-2000A,BATTERY,BATTERY,spec,NO,,4,,
HTE152-US,US,TRUE,specifications,BATTERY,5,field_002,Voltage Configuration,1,,51.2V/40Ah (16S2P),,,,,,JHP-2000A,BATTERY,BATTERY,spec,NO,,5,,
HTE152-US,US,TRUE,specifications,OUTPUT PORTS,3,field_003,Rated AC Output Power,1,,2400W,,,,,,JHP-2000A,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,6,,
HTE152-US,US,TRUE,specifications,OUTPUT PORTS,3,field_004,Peak AC Output Power,1,,4800W,,,,,,JHP-2000A,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,7,,
HTE152-US,US,TRUE,specifications,OUTPUT PORTS,3,field_005,AC Output Voltage / Frequency,1,,AC 120V 60Hz,,,,,,JHP-2000A,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,8,,
HTE152-US,US,TRUE,specifications,OUTPUT PORTS,3,field_006,AC Output Current,1,,20A,,,,,,JHP-2000A,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,9,,
HTE152-US,US,TRUE,specifications,OUTPUT PORTS,3,ac,Number of AC Outlets,1,,4,,,,,,JHP-2000A,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,10,,
HTE152-US,US,TRUE,specifications,INPUT PORTS,2,dc,Maximum DC Input Power,1,,800W Max,,,,,,JHP-2000A,INPUT PORTS,INPUT PORTS,spec,NO,,11,,
HTE152-US,US,TRUE,specifications,INPUT PORTS,2,ac_2,AC Input Specifications,1,,AC 100V~120V 60Hz 15A Max,,,,,,JHP-2000A,INPUT PORTS,INPUT PORTS,spec,NO,,12,,
HTE152-US,US,TRUE,specifications,INPUT PORTS,2,ac_3,Maximum AC Charging Power,1,,约1750W±50W @25℃,,,,,,JHP-2000A,INPUT PORTS,INPUT PORTS,spec,NO,,13,,
HTE152-US,US,TRUE,specifications,INPUT PORTS,2,field_011,Expansion Port Voltage Range,1,,DC 36.8–57.6V,,,,,,JHP-2000A,INPUT PORTS,INPUT PORTS,spec,NO,,14,,
HTE152-US,US,TRUE,specifications,INPUT PORTS,2,field_012,Maximum Expansion Port Current,1,,75A,,,,,,JHP-2000A,INPUT PORTS,INPUT PORTS,spec,NO,,15,,
HTE152-US,US,TRUE,specifications,MECHANICAL,6,field_013,Weight,1,,18.4kg,,,,,,JHP-2000A,MECHANICAL,MECHANICAL,spec,NO,,16,,
HTE152-US,US,TRUE,specifications,MECHANICAL,6,field_014,Dimensions - Length,1,,365mm,,,,,,JHP-2000A,MECHANICAL,MECHANICAL,spec,NO,,17,,
HTE152-US,US,TRUE,specifications,MECHANICAL,6,field_015,Dimensions - Width,1,,255mm,,,,,,JHP-2000A,MECHANICAL,MECHANICAL,spec,NO,,18,,
HTE152-US,US,TRUE,specifications,MECHANICAL,6,field_016,Dimensions - Height,1,,275mm,,,,,,JHP-2000A,MECHANICAL,MECHANICAL,spec,NO,,19,,
HTE152-US,US,TRUE,specifications,GENERAL INFO,1,field_017,Product Name,1,,Jackery HomePower 2000 Plus,,,,,,JHP-2000A,GENERAL INFO,GENERAL INFO,spec,NO,,20,,
HTE152-US,US,TRUE,specifications,GENERAL INFO,1,field_018,Model No.,1,,JHP-2000A,,,,,,JHP-2000A,GENERAL INFO,GENERAL INFO,spec,NO,,21,,
HTE152-US,US,TRUE,specifications,BATTERY,5,field_019,Cell Chemistry,1,,LiFePO4,,,,,,JHP-2000A,BATTERY,BATTERY,spec,NO,,22,,
HTE152-US,US,TRUE,specifications,BATTERY,5,field_020,Cycle Life,1,,"6000 cycles (90%DOD, 0.5C/0.5C, ≥70%, 25℃)",,,,,,JHP-2000A,BATTERY,BATTERY,spec,NO,,23,,
HTE152-US,US,TRUE,specifications,OUTPUT PORTS,3,usb_a,USB-A Output,1,,"18W Max
5-6V⎓3A
6-9V⎓2A
9-12V⎓1.5A",,,,,,JHP-2000A,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,24,,
HTE152-US,US,TRUE,specifications,OUTPUT PORTS,3,usb_c,USB-C Output,1,,"30W Max
5V⎓3A
9V⎓3A
12V⎓2.5A
15V⎓2A
20V⎓1.5A",,,,,,JHP-2000A,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,25,,
HTE152-US,US,TRUE,specifications,OUTPUT PORTS,3,usb_c_pd,USB-C PD Output,1,,"100W Max
5V⎓3A
9V⎓3A
12V⎓3A
15V⎓3A
20V⎓5A",,,,,,JHP-2000A,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,26,,
HTE152-US,US,TRUE,specifications,OUTPUT PORTS,3,ac_4,AC Output in Bypass Mode,1,,12A Max,,,,,,JHP-2000A,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,27,,
HTE152-US,US,TRUE,specifications,ENVIRONMENTAL,4,field_025,Discharge Temperature,1,,-20℃ ~ 45℃,,,,,,JHP-2000A,ENVIRONMENTAL,ENVIRONMENTAL,spec,NO,,28,,
HTE152-US,US,TRUE,specifications,ENVIRONMENTAL,4,field_026,Charging Temperature,1,,-20℃ ~ 45℃,,,,,,JHP-2000A,ENVIRONMENTAL,ENVIRONMENTAL,spec,NO,,29,,
HTE152-US,US,TRUE,specifications,BATTERY,5,field_027,Storage Temperature,1,,"1 year: 0~25℃
 3 months: 0~45℃
 1 month: -20~45℃",,,,,,JHP-2000A,BATTERY,BATTERY,spec,NO,,30,,
HTE152-US,US,TRUE,specifications,INPUT PORTS,2,field_028,Charging Input,1,,16V–60V,,,,,,JHP-2000A,INPUT PORTS,INPUT PORTS,spec,NO,,31,,
HTE152-US,US,TRUE,specifications,OUTPUT PORTS,3,field_029,Car Port Output,1,,12V 10A Max,,,,,,JHP-2000A,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,32,,
HTE152-US,US,TRUE,specifications,MECHANICAL,6,field_030,Housing Material,1,,PC+ABS (94V-0),,,,,,JHP-2000A,MECHANICAL,MECHANICAL,spec,NO,,33,,
HTE152-US,US,TRUE,specifications,ENVIRONMENTAL,4,field_031,Operating Humidity,1,,0~60% RH (不冷凝),,,,,,JHP-2000A,ENVIRONMENTAL,ENVIRONMENTAL,spec,NO,,34,,
HTE152-US,US,TRUE,specifications,BATTERY,5,field_032,Discharge Capacity,1,,">1597Wh (@AC 2400W, 25℃)",,,,,,JHP-2000A,BATTERY,BATTERY,spec,NO,,35,,
HTE152-US,US,TRUE,specifications,ENVIRONMENTAL,4,field_033,Pollution Degree,1,,Ⅲ,,,,,,JHP-2000A,ENVIRONMENTAL,ENVIRONMENTAL,spec,NO,,36,,
HTE152-JP,JP,TRUE,specifications,GENERAL INFO,1,product_name,Product Name,1,,Jackery HomePower 2000 Plus v2,,,,,,JHP-2000A,GENERAL INFO,GENERAL INFO,spec,NO,,37,,
HTE152-JP,JP,TRUE,specifications,GENERAL INFO,1,model_no,Model No.,1,,JHP-2000A,,,,,,JHP-2000A,GENERAL INFO,GENERAL INFO,spec,NO,,38,,
HTE152-JP,JP,TRUE,specifications,BATTERY,5,field_001,Rated Capacity,1,,2048Wh,,,,,,JHP-2000A,BATTERY,BATTERY,spec,NO,,39,,
HTE152-JP,JP,TRUE,specifications,BATTERY,5,field_002,Voltage Configuration,1,,51.2V/40Ah (16S2P),,,,,,JHP-2000A,BATTERY,BATTERY,spec,NO,,40,,
HTE152-JP,JP,TRUE,specifications,OUTPUT PORTS,3,field_003,Rated AC Output Power,1,,2400W,,,,,,JHP-2000A,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,41,,
HTE152-JP,JP,TRUE,specifications,OUTPUT PORTS,3,field_004,Peak AC Output Power,1,,4800W,,,,,,JHP-2000A,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,42,,
HTE152-JP,JP,TRUE,specifications,OUTPUT PORTS,3,field_005,AC Output Voltage / Frequency,1,,AC 100V 60Hz,,,,,,JHP-2000A,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,43,,
HTE152-JP,JP,TRUE,specifications,OUTPUT PORTS,3,field_006,AC Output Current,1,,24A,,,,,,JHP-2000A,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,44,,
HTE152-JP,JP,TRUE,specifications,OUTPUT PORTS,3,ac,Number of AC Outlets,1,,4,,,,,,JHP-2000A,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,45,,
HTE152-JP,JP,TRUE,specifications,INPUT PORTS,2,dc,Maximum DC Input Power,1,,800W Max,,,,,,JHP-2000A,INPUT PORTS,INPUT PORTS,spec,NO,,46,,
HTE152-JP,JP,TRUE,specifications,INPUT PORTS,2,ac_2,AC Input Specifications,1,,AC 100V~120V 60Hz 15A Max,,,,,,JHP-2000A,INPUT PORTS,INPUT PORTS,spec,NO,,47,,
HTE152-JP,JP,TRUE,specifications,INPUT PORTS,2,ac_3,Maximum AC Charging Power,1,,约1500W±50W @25℃,,,,,,JHP-2000A,INPUT PORTS,INPUT PORTS,spec,NO,,48,,
HTE152-JP,JP,TRUE,specifications,INPUT PORTS,2,field_011,Expansion Port Voltage Range,1,,DC 36.8–57.6V,,,,,,JHP-2000A,INPUT PORTS,INPUT PORTS,spec,NO,,49,,
HTE152-JP,JP,TRUE,specifications,INPUT PORTS,2,field_012,Maximum Expansion Port Current,1,,75A,,,,,,JHP-2000A,INPUT PORTS,INPUT PORTS,spec,NO,,50,,
HTE152-JP,JP,TRUE,specifications,MECHANICAL,6,field_013,Weight,1,,18.4kg,,,,,,JHP-2000A,MECHANICAL,MECHANICAL,spec,NO,,51,,
HTE152-JP,JP,TRUE,specifications,MECHANICAL,6,field_014,Dimensions - Length,1,,365mm,,,,,,JHP-2000A,MECHANICAL,MECHANICAL,spec,NO,,52,,
HTE152-JP,JP,TRUE,specifications,MECHANICAL,6,field_015,Dimensions - Width,1,,255mm,,,,,,JHP-2000A,MECHANICAL,MECHANICAL,spec,NO,,53,,
HTE152-JP,JP,TRUE,specifications,MECHANICAL,6,field_016,Dimensions - Height,1,,275mm,,,,,,JHP-2000A,MECHANICAL,MECHANICAL,spec,NO,,54,,
HTE152-JP,JP,TRUE,specifications,GENERAL INFO,1,field_017,Product Name,1,,Jackery ポータブル電源 2000 Plus,,,,,,JHP-2000A,GENERAL INFO,GENERAL INFO,spec,NO,,55,,
HTE152-JP,JP,TRUE,specifications,GENERAL INFO,1,field_018,Model No.,1,,JE-2000E,,,,,,JHP-2000A,GENERAL INFO,GENERAL INFO,spec,NO,,56,,
HTE152-JP,JP,TRUE,specifications,BATTERY,5,field_019,Cell Chemistry,1,,LiFePO4,,,,,,JHP-2000A,BATTERY,BATTERY,spec,NO,,57,,
HTE152-JP,JP,TRUE,specifications,BATTERY,5,field_020,Cycle Life,1,,"6000 cycles (90%DOD, 0.5C/0.5C, ≥70%, 25℃)",,,,,,JHP-2000A,BATTERY,BATTERY,spec,NO,,58,,
HTE152-JP,JP,TRUE,specifications,OUTPUT PORTS,3,usb_a,USB-A Output,1,,"18W Max
5-6V⎓3A
6-9V⎓2A
9-12V⎓1.5A",,,,,,JHP-2000A,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,59,,
HTE152-JP,JP,TRUE,specifications,OUTPUT PORTS,3,usb_c,USB-C Output,1,,"30W Max
5V⎓3A
9V⎓3A
12V⎓2.5A
15V⎓2A
20V⎓1.5A",,,,,,JHP-2000A,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,60,,
HTE152-JP,JP,TRUE,specifications,OUTPUT PORTS,3,usb_c_pd,USB-C PD Output,1,,"100W Max
5V⎓3A
9V⎓3A
12V⎓3A
15V⎓3A
20V⎓5A",,,,,,JHP-2000A,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,61,,
HTE152-JP,JP,TRUE,specifications,OUTPUT PORTS,3,ac_4,AC Output in Bypass Mode,1,,12A Max,,,,,,JHP-2000A,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,62,,
HTE152-JP,JP,TRUE,specifications,ENVIRONMENTAL,4,field_025,Discharge Temperature,1,,-20℃ ~ 45℃,,,,,,JHP-2000A,ENVIRONMENTAL,ENVIRONMENTAL,spec,NO,,63,,
HTE152-JP,JP,TRUE,specifications,ENVIRONMENTAL,4,field_026,Charging Temperature,1,,-20℃ ~ 45℃,,,,,,JHP-2000A,ENVIRONMENTAL,ENVIRONMENTAL,spec,NO,,64,,
HTE152-JP,JP,TRUE,specifications,BATTERY,5,field_027,Storage Temperature,1,,"1 year: 0~25℃
 3 months: 0~45℃
 1 month: -20~45℃",,,,,,JHP-2000A,BATTERY,BATTERY,spec,NO,,65,,
HTE152-JP,JP,TRUE,specifications,OUTPUT PORTS,3,field_028,Car Port Output,1,,12V 10A Max,,,,,,JHP-2000A,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,66,,
HTE152-JP,JP,TRUE,specifications,MECHANICAL,6,field_029,Housing Material,1,,PC+ABS (94V-0),,,,,,JHP-2000A,MECHANICAL,MECHANICAL,spec,NO,,67,,
HTE152-JP,JP,TRUE,specifications,ENVIRONMENTAL,4,field_030,Operating Humidity,1,,0~60% RH (不冷凝),,,,,,JHP-2000A,ENVIRONMENTAL,ENVIRONMENTAL,spec,NO,,68,,
HTE152-JP,JP,TRUE,specifications,BATTERY,5,field_031,Discharge Capacity,1,,">1597Wh (@AC 2400W, 25℃)",,,,,,JHP-2000A,BATTERY,BATTERY,spec,NO,,69,,
HTE152-JP,JP,TRUE,specifications,ENVIRONMENTAL,4,field_032,Pollution Degree,1,,Ⅱ,,,,,,JHP-2000A,ENVIRONMENTAL,ENVIRONMENTAL,spec,NO,,70,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,GENERAL INFO,1,product_name,Product Name,1,,Jackery ポータブル電源 2000 Plus,,,,,,JE-2000E,GENERAL INFO,GENERAL INFO,spec,NO,,71,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,GENERAL INFO,1,model_no,Model No.,1,,JE-2000E,,,,,,JE-2000E,GENERAL INFO,GENERAL INFO,spec,NO,,72,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,GENERAL INFO,1,rated_capacity,Rated Capacity,1,,2048Wh (40Ah/51.2V DC),,,,,,JE-2000E,GENERAL INFO,GENERAL INFO,spec,NO,,73,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,GENERAL INFO,1,battery_voltage,Voltage Configuration,1,,51.2V/40Ah (16S2P),,,,,,JE-2000E,GENERAL INFO,GENERAL INFO,spec,NO,,74,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,GENERAL INFO,1,battery_type,Battery Type,1,,LiFePO4 (リン酸鉄リチウムイオン電池),,,,,,JE-2000E,GENERAL INFO,GENERAL INFO,spec,NO,,75,,
