Row_key,Section,Section_order,Row_label_en,Usage_count,Models,Regions,Observed_sections,Observed_section_orders,Observed_row_labels_en
tpl_side_ac_input_label,INPUT PORTS,2,AC Input,5,"JE-1000F,JE-2000E,JE-2000F","JP,US",INPUT PORTS,2,AC Input
tpl_side_ac_input_spec,INPUT PORTS,2,AC Input,5,"JE-1000F,JE-2000E,JE-2000F","JP,US",INPUT PORTS,2,AC Input
tpl_side_dc_input_car_spec,INPUT PORTS,2,Car Input,5,"JE-1000F,JE-2000E,JE-2000F","JP,US",INPUT PORTS,2,Car Input
tpl_side_dc_input_label,INPUT PORTS,2,DC Input (2 x DC8020 Ports),5,"JE-1000F,JE-2000E,JE-2000F","JP,US",INPUT PORTS,2,DC Input (2 x DC8020 Ports)
tpl_side_dc_input_pv_spec,INPUT PORTS,2,PV Input,5,"JE-1000F,JE-2000E,JE-2000F","JP,US",INPUT PORTS,2,PV Input
tpl_front_ac_output_label,OUTPUT PORTS,3,AC Output,5,"JE-1000F,JE-2000E,JE-2000F","JP,US",OUTPUT PORTS,3,AC Output
tpl_front_ac_output_spec,OUTPUT PORTS,3,AC Output,5,"JE-1000F,JE-2000E,JE-2000F","JP,US",OUTPUT PORTS,3,AC Output
tpl_front_dc12_port_label,OUTPUT PORTS,3,DC 12V Port,5,"JE-1000F,JE-2000E,JE-2000F","JP,US",OUTPUT PORTS,3,DC 12V Port
tpl_front_dc12_port_spec,OUTPUT PORTS,3,DC 12V Port,5,"JE-1000F,JE-2000E,JE-2000F","JP,US",OUTPUT PORTS,3,DC 12V Port
tpl_front_total_output_label,OUTPUT PORTS,3,Total Output,2,"JE-1000F,JE-2000F",US,OUTPUT PORTS,3,Total Output
tpl_front_total_output_spec,OUTPUT PORTS,3,Total Output,2,"JE-1000F,JE-2000F",US,OUTPUT PORTS,3,Total Output
tpl_ups_bypass_output_text,OUTPUT PORTS,3,UPS Bypass Output,5,"JE-1000F,JE-2000E,JE-2000F","JP,US",OUTPUT PORTS,3,UPS Bypass Output
tpl_front_usb_a_label,OUTPUT PORTS,3,USB-A 18W Output,5,"JE-1000F,JE-2000E,JE-2000F","JP,US",OUTPUT PORTS,3,USB-A 18W Output
tpl_front_usb_a_spec,OUTPUT PORTS,3,USB-A 18W Output,5,"JE-1000F,JE-2000E,JE-2000F","JP,US",OUTPUT PORTS,3,USB-A 18W Output
tpl_front_usb_c_high_label,OUTPUT PORTS,3,USB-C 100W Output,5,"JE-1000F,JE-2000E,JE-2000F","JP,US",OUTPUT PORTS,3,USB-C 100W Output
tpl_front_usb_c_high_spec,OUTPUT PORTS,3,USB-C 100W Output,5,"JE-1000F,JE-2000E,JE-2000F","JP,US",OUTPUT PORTS,3,USB-C 100W Output
tpl_usb_c_high_power_port_label,OUTPUT PORTS,3,USB-C 100W Port,5,"JE-1000F,JE-2000E,JE-2000F","JP,US",OUTPUT PORTS,3,USB-C 100W Port
tpl_front_usb_c_low_label,OUTPUT PORTS,3,USB-C 30W Output,5,"JE-1000F,JE-2000E,JE-2000F","JP,US",OUTPUT PORTS,3,USB-C 30W Output
tpl_front_usb_c_low_spec,OUTPUT PORTS,3,USB-C 30W Output,5,"JE-1000F,JE-2000E,JE-2000F","JP,US",OUTPUT PORTS,3,USB-C 30W Output
tpl_ac_power_button_label,CONTROLS,7,AC Power Button,6,"JE-1000F,JE-2000E,JE-2000F,JE-3600A","EU,JP,US",CONTROLS,7,AC Power Button
tpl_dc_usb_power_button_label,CONTROLS,7,DC/USB Power Button,5,"JE-1000F,JE-2000E,JE-2000F","JP,US",CONTROLS,7,DC/USB Power Button
tpl_main_power_button_label,CONTROLS,7,Main Power Button,5,"JE-1000F,JE-2000E,JE-2000F","JP,US",CONTROLS,7,Main Power Button
tpl_power_button_label,CONTROLS,7,Power Button,1,JE-3600A,EU,CONTROLS,7,Power Button
tpl_usb_power_button_label,CONTROLS,7,USB Power Button,1,JE-3600A,EU,CONTROLS,7,USB Power Button
tpl_default_standby_duration,SETTINGS,8,Default Standby Duration,5,"JE-1000F,JE-2000E,JE-2000F","JP,US",SETTINGS,8,Default Standby Duration
tpl_energy_saving_ac_threshold,SETTINGS,8,Energy Saving AC Threshold,5,"JE-1000F,JE-2000E,JE-2000F","JP,US",SETTINGS,8,Energy Saving AC Threshold
tpl_energy_saving_auto_off_duration,SETTINGS,8,Energy Saving Auto Off Duration,5,"JE-1000F,JE-2000E,JE-2000F","JP,US",SETTINGS,8,Energy Saving Auto Off Duration
tpl_energy_saving_dc_threshold,SETTINGS,8,Energy Saving DC Threshold,5,"JE-1000F,JE-2000E,JE-2000F","JP,US",SETTINGS,8,Energy Saving DC Threshold
tpl_battery_pack_name,ACCESSORIES,9,Battery Pack Name,1,JE-3600A,EU,ACCESSORIES,9,Battery Pack Name
tpl_car_battery_charging_cable_name,ACCESSORIES,9,Car Battery Charging Cable,5,"JE-1000F,JE-2000E,JE-2000F","JP,US",ACCESSORIES,9,Car Battery Charging Cable
tpl_usb_c_high_power_cable_name,ACCESSORIES,9,USB-C High Power Cable,5,"JE-1000F,JE-2000E,JE-2000F","JP,US",ACCESSORIES,9,USB-C High Power Cable
