tracked_root,model,region,artifact,section,page_key,file_name,relative_path,change_type,insertions,deletions,old_path,new_path,from_ref,to_ref
docs/_review/JE-1000F,JE-1000F,JP,review,generated,safety_ja,safety_ja.rst,generated/JE-1000F/safety_ja.rst,A,104,0,,docs/_review/JE-1000F/JP/generated/JE-1000F/safety_ja.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,generated,spec_ja,spec_ja.rst,generated/JE-1000F/spec_ja.rst,A,146,0,,docs/_review/JE-1000F/JP/generated/JE-1000F/spec_ja.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,,index,index.rst,index.rst,A,28,0,,docs/_review/JE-1000F/JP/index.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,,manifest,manifest.json,manifest.json,A,29,0,,docs/_review/JE-1000F/JP/manifest.json,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,01_meaning_of_symbols,01_meaning_of_symbols.rst,page/01_meaning_of_symbols.rst,A,229,0,,docs/_review/JE-1000F/JP/page/01_meaning_of_symbols.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,02_whats_in_the_box,02_whats_in_the_box.rst,page/02_whats_in_the_box.rst,A,20,0,,docs/_review/JE-1000F/JP/page/02_whats_in_the_box.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,03_product_overview_placeholder,03_product_overview_placeholder.rst,page/03_product_overview_placeholder.rst,A,61,0,,docs/_review/JE-1000F/JP/page/03_product_overview_placeholder.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,04_lcd_display_placeholder,04_lcd_display_placeholder.rst,page/04_lcd_display_placeholder.rst,A,141,0,,docs/_review/JE-1000F/JP/page/04_lcd_display_placeholder.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,05_operation_guide_placeholder,05_operation_guide_placeholder.rst,page/05_operation_guide_placeholder.rst,A,193,0,,docs/_review/JE-1000F/JP/page/05_operation_guide_placeholder.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,06_ups_mode,06_ups_mode.rst,page/06_ups_mode.rst,A,27,0,,docs/_review/JE-1000F/JP/page/06_ups_mode.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,07_expansion_battery_pack,07_expansion_battery_pack.rst,page/07_expansion_battery_pack.rst,A,107,0,,docs/_review/JE-1000F/JP/page/07_expansion_battery_pack.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,09_storage_and_maintenance,09_storage_and_maintenance.rst,page/09_storage_and_maintenance.rst,A,18,0,,docs/_review/JE-1000F/JP/page/09_storage_and_maintenance.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,10_troubleshooting,10_troubleshooting.rst,page/10_troubleshooting.rst,A,43,0,,docs/_review/JE-1000F/JP/page/10_troubleshooting.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,11_warranty,11_warranty.rst,page/11_warranty.rst,A,109,0,,docs/_review/JE-1000F/JP/page/11_warranty.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,12_app_setup_placeholder,12_app_setup_placeholder.rst,page/12_app_setup_placeholder.rst,A,82,0,,docs/_review/JE-1000F/JP/page/12_app_setup_placeholder.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,cover_jp,cover_jp.rst,page/cover_jp.rst,A,25,0,,docs/_review/JE-1000F/JP/page/cover_jp.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,safety_ja,safety_ja.rst,page/safety_ja.rst,A,108,0,,docs/_review/JE-1000F/JP/page/safety_ja.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,spec_ja,spec_ja.rst,page/spec_ja.rst,A,150,0,,docs/_review/JE-1000F/JP/page/spec_ja.rst,HEAD~1,HEAD
