tracked_root,model,region,artifact,section,page_key,file_name,relative_path,section_title,field_key,change_type,old_value,new_value,source_section_key,source_row_key,source_line_order,source_csv_line,from_ref,to_ref
docs/_review/JE-1000F,JE-1000F,JP,review,generated,spec_ja,spec_ja.rst,generated/JE-1000F/spec_ja.rst,● 入力ポート,AC Input,A,,"Charge Mode: 100V-120V~50/60Hz, 15A Max / AC Flash Charge: About 1450W±50W @25°C",,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,generated,spec_ja,spec_ja.rst,generated/JE-1000F/spec_ja.rst,● 入力ポート,DC8020 Ports,A,,"11V-16V⎓8A Max, Double 8A Max / 16V-60V⎓12A, Double 21A Max / 400W Max",,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,generated,spec_ja,spec_ja.rst,generated/JE-1000F/spec_ja.rst,● 出力ポート,AC Output,A,,"100V~50/60Hz, 15A, 1500W Rated (-10°C to 45°C) / 100V~50/60Hz, 7A, 700W Rated (-20°C to -10°C)",TEMPLATE VARS,tpl_ups_bypass_output_text,1,396,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,generated,spec_ja,spec_ja.rst,generated/JE-1000F/spec_ja.rst,● 出力ポート,AC Output in Bypass Mode,A,,15A Max,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,generated,spec_ja,spec_ja.rst,generated/JE-1000F/spec_ja.rst,● 出力ポート,AC Total Output,A,,"1500W Rated, 3000W Surge peak",TEMPLATE VARS,tpl_ups_bypass_output_text,1,396,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,generated,spec_ja,spec_ja.rst,generated/JE-1000F/spec_ja.rst,● 出力ポート,DC 12V Port,A,,12V⎓10A Max,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,generated,spec_ja,spec_ja.rst,generated/JE-1000F/spec_ja.rst,● 出力ポート,USB-A,A,,"1 × USB-A: 18W Max, 5-6V⎓3A, 6-9V⎓2A, 9-12V⎓1.5A",,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,generated,spec_ja,spec_ja.rst,generated/JE-1000F/spec_ja.rst,● 出力ポート,USB-C,A,,"1 × USB-C: 100W Max, 5V⎓3A, 9V⎓3A, 12V⎓3A, 15V⎓3A, 20V⎓5A (-10°C to 45°C) / USB-C 100W output disabled (-20°C to -10°C) / 1 × USB-C: 30W Max, 5V⎓3A, 9V⎓3A, 12V⎓2.5A, 15V⎓2A, 20V⎓1.5A",TEMPLATE VARS,tpl_usb_c_high_power_port_label,1,393,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,generated,spec_ja,spec_ja.rst,generated/JE-1000F/spec_ja.rst,● 基本情報,Capacity,A,,1024 Wh (20Ah/51.2V DC),,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,generated,spec_ja,spec_ja.rst,generated/JE-1000F/spec_ja.rst,● 基本情報,Cycle Life,A,,"6000 Cycles (90%DOD, 0.5C/0.5C, ≥70%, 25°C)",,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,generated,spec_ja,spec_ja.rst,generated/JE-1000F/spec_ja.rst,● 基本情報,Model No.,A,,JE-1000F,GENERAL INFO,model_no,1,242,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,generated,spec_ja,spec_ja.rst,generated/JE-1000F/spec_ja.rst,● 基本情報,Product Name,A,,Jackery ポータブル電源 1000 New v2,GENERAL INFO,product_name,1,241,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,generated,spec_ja,spec_ja.rst,generated/JE-1000F/spec_ja.rst,● 基本情報,Weight,A,,About 10.6 kg,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,generated,spec_ja,spec_ja.rst,generated/JE-1000F/spec_ja.rst,● 温度範囲,Operating Temperature,A,,20°C to 45°C,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,generated,spec_ja,spec_ja.rst,generated/JE-1000F/spec_ja.rst,● 温度範囲,Storage Temperature,A,,1 year: 0°C to 25°C / 3 months: 0°C to 45°C / 1 month: -20°C to 45°C,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,01_meaning_of_symbols,01_meaning_of_symbols.rst,page/01_meaning_of_symbols.rst,・注意,.. image:: _static/manual_assets/hte153_jp/symbols/warning_triangle.png :alt: Caution icon. :width: 40px,A,,本製品の上に物を載せたり、不安定な場所に置かない 倒れたり、落ちたりしてけがの原因になります。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,01_meaning_of_symbols,01_meaning_of_symbols.rst,page/01_meaning_of_symbols.rst,・注意,.. image:: _static/manual_assets/hte153_jp/symbols/warning_triangle.png :alt: Caution icon. :width: 40px #2,A,,心臓にペースメーカーを装着している方は使用しない ペースメーカーが、本製品の影響を受ける恐れがあります。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,01_meaning_of_symbols,01_meaning_of_symbols.rst,page/01_meaning_of_symbols.rst,・注意,.. image:: _static/manual_assets/hte153_jp/symbols/warning_triangle.png :alt: Caution icon. :width: 40px #3,A,,格納式ハンドルを使用してJackery ポータブル電源 1000 New v2を移動するときは、積み重ねたり、上に他の物を置いたりしないでください。落下して怪我をする場合があります。,GENERAL INFO,product_name,1,241,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,01_meaning_of_symbols,01_meaning_of_symbols.rst,page/01_meaning_of_symbols.rst,・注意,.. image:: _static/manual_assets/hte153_jp/symbols/warning_triangle.png :alt: Caution icon. :width: 40px / データサーバや医療機器など、非常時に不具合が起こると人命 / 財産に重大な危険を及ぼしうる用途でのご使用はお控えください。次のようなような機器では、万が一使用中に給電ができなくなった場合、人命 / 財産にかかわる被害が想定されます。 / 医療機器や使用上、生命に関わるような機器 / 社会的、公共的に重要な機器など,A,,重要な事業用機器など,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,01_meaning_of_symbols,01_meaning_of_symbols.rst,page/01_meaning_of_symbols.rst,・絵表示について,ヒント,A,,文章内の重要な情報や操作のヒントを補足する内容を示しています。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,01_meaning_of_symbols,01_meaning_of_symbols.rst,page/01_meaning_of_symbols.rst,・絵表示について,注意,A,,この表示を無視して、誤った取り扱いをすると、人が傷害を負う可能性が想定される内容または物的損害の発生が想定される内容を示しています。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,01_meaning_of_symbols,01_meaning_of_symbols.rst,page/01_meaning_of_symbols.rst,・絵表示について,説明,A,,この表示を無視して誤った取り扱いをすると、機器の損傷、データの消失、性能の低下、または予期しない動作が発生する可能性があることを示しています。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,01_meaning_of_symbols,01_meaning_of_symbols.rst,page/01_meaning_of_symbols.rst,・絵表示について,警告,A,,この表示を無視して、誤った取り扱いをすると、人が死亡または重傷を負う可能性が想定される内容を示しています。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,01_meaning_of_symbols,01_meaning_of_symbols.rst,page/01_meaning_of_symbols.rst,・絵表示の説明,.. image:: _static/manual_assets/hte153_jp/symbols/do_not_dismantle.png :alt: Do not dismantle symbol. :width: 40px / 製品を分解、改造を禁止する記号 / .. image:: _static/manual_assets/hte153_jp/symbols/li_ion.png :alt: Li-ion symbol. :width: 40px,A,,充電式電池のリサイクルについて 本機はリサイクル可能な充電池を内蔵しています。 この商品を廃棄する場合は、当社のカスタマーサポートにご連絡ください。 充電池の取りはずしはお客様自身では行わないでください。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,01_meaning_of_symbols,01_meaning_of_symbols.rst,page/01_meaning_of_symbols.rst,・絵表示の説明,.. image:: _static/manual_assets/hte153_jp/symbols/keep_dry.png :alt: Keep dry symbol. :width: 40px,A,,製品を濡らすことを禁止する記号,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,01_meaning_of_symbols,01_meaning_of_symbols.rst,page/01_meaning_of_symbols.rst,・絵表示の説明,.. image:: _static/manual_assets/hte153_jp/symbols/no_wet_hands.png :alt: No wet hands symbol. :width: 40px / 製品に濡れた手で触れることを禁止する記号 / .. image:: _static/manual_assets/hte153_jp/symbols/prohibited.png :alt: Prohibited action symbol. :width: 40px,A,,行為を禁止する記号,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,01_meaning_of_symbols,01_meaning_of_symbols.rst,page/01_meaning_of_symbols.rst,・絵表示の説明,.. image:: _static/manual_assets/hte153_jp/symbols/prohibited.png :alt: Keep away from children symbol. :width: 40px / 小さなお子様の手の届かない場所に保管してください。 / .. image:: _static/manual_assets/hte153_jp/symbols/battery_recycle.png :alt: Battery disposal symbol. :width: 40px,A,,電池および蓄電池は家庭ごみと一緒に廃棄してはいけません。 消費者の皆様は、有害物質の有無にかかわらず、すべての電池および蓄電池を指定された収集場所で廃棄することが法律で義務付けられています。 使用済みの電池および蓄電池は、お近くの収集拠点、リサイクルセンター、または購入した小売店にお持ちください。 適切な廃棄は環境に配慮したリサイクルを確保し、人間の健康と環境への潜在的な害を防ぎます。,,,,,HEAD~1,HEAD
