tracked_root,model,region,artifact,section,page_key,file_count,change_types,insertions,deletions,fields_changed,relative_paths,from_ref,to_ref
docs/_review/JE-1000F,JE-1000F,JP,review,,index,1,A,28,0,0,index.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,,manifest,1,A,29,0,0,manifest.json,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,generated,safety_ja,1,A,104,0,0,generated/JE-1000F/safety_ja.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,generated,spec_ja,1,A,146,0,15,generated/JE-1000F/spec_ja.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,01_meaning_of_symbols,1,A,229,0,23,page/01_meaning_of_symbols.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,02_whats_in_the_box,1,A,20,0,1,page/02_whats_in_the_box.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,03_product_overview_placeholder,1,A,61,0,8,page/03_product_overview_placeholder.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,04_lcd_display_placeholder,1,A,141,0,23,page/04_lcd_display_placeholder.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,05_operation_guide_placeholder,1,A,193,0,6,page/05_operation_guide_placeholder.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,06_ups_mode,1,A,27,0,0,page/06_ups_mode.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,07_expansion_battery_pack,1,A,107,0,0,page/07_expansion_battery_pack.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,09_storage_and_maintenance,1,A,18,0,0,page/09_storage_and_maintenance.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,10_troubleshooting,1,A,43,0,11,page/10_troubleshooting.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,11_warranty,1,A,109,0,0,page/11_warranty.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,12_app_setup_placeholder,1,A,82,0,0,page/12_app_setup_placeholder.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,cover_jp,1,A,25,0,0,page/cover_jp.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,safety_ja,1,A,108,0,0,page/safety_ja.rst,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,spec_ja,1,A,150,0,15,page/spec_ja.rst,HEAD~1,HEAD
