tracked_root,model,region,artifact,section,page_key,file_name,relative_path,change_type,insertions,deletions,old_path,new_path,from_ref,to_ref
docs/_review/JE-1000F/JP,JE-1000F,JP,review,generated,03_product_overview_ja,03_product_overview_ja.rst,generated/JE-1000F/draft/03_product_overview_ja.rst,M,12,13,,docs/_review/JE-1000F/JP/generated/JE-1000F/draft/03_product_overview_ja.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,generated,05_operation_guide_ja,05_operation_guide_ja.rst,generated/JE-1000F/draft/05_operation_guide_ja.rst,M,18,15,,docs/_review/JE-1000F/JP/generated/JE-1000F/draft/05_operation_guide_ja.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,generated,12_app_setup_ja,12_app_setup_ja.rst,generated/JE-1000F/draft/12_app_setup_ja.rst,M,24,18,,docs/_review/JE-1000F/JP/generated/JE-1000F/draft/12_app_setup_ja.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,generated,spec_ja,spec_ja.rst,generated/JE-1000F/spec_ja.rst,M,2,2,,docs/_review/JE-1000F/JP/generated/JE-1000F/spec_ja.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,,manifest,manifest.json,manifest.json,M,8,2,,docs/_review/JE-1000F/JP/manifest.json,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,page,01_meaning_of_symbols,01_meaning_of_symbols.rst,page/01_meaning_of_symbols.rst,M,28,89,,docs/_review/JE-1000F/JP/page/01_meaning_of_symbols.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,page,03_product_overview_placeholder,03_product_overview_placeholder.rst,page/03_product_overview_placeholder.rst,M,1,1,,docs/_review/JE-1000F/JP/page/03_product_overview_placeholder.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,page,04_lcd_display_placeholder,04_lcd_display_placeholder.rst,page/04_lcd_display_placeholder.rst,M,9,15,,docs/_review/JE-1000F/JP/page/04_lcd_display_placeholder.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,page,05_operation_guide_placeholder,05_operation_guide_placeholder.rst,page/05_operation_guide_placeholder.rst,M,31,49,,docs/_review/JE-1000F/JP/page/05_operation_guide_placeholder.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,page,07_expansion_battery_pack,07_expansion_battery_pack.rst,page/07_expansion_battery_pack.rst,M,17,29,,docs/_review/JE-1000F/JP/page/07_expansion_battery_pack.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,page,08_charging_methods,08_charging_methods.rst,page/08_charging_methods.rst,M,28,42,,docs/_review/JE-1000F/JP/page/08_charging_methods.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,page,10_troubleshooting,10_troubleshooting.rst,page/10_troubleshooting.rst,M,2,2,,docs/_review/JE-1000F/JP/page/10_troubleshooting.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,page,11_warranty,11_warranty.rst,page/11_warranty.rst,M,3,9,,docs/_review/JE-1000F/JP/page/11_warranty.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,page,12_app_setup_placeholder,12_app_setup_placeholder.rst,page/12_app_setup_placeholder.rst,M,14,12,,docs/_review/JE-1000F/JP/page/12_app_setup_placeholder.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,page,safety_ja,safety_ja.rst,page/safety_ja.rst,M,103,3,,docs/_review/JE-1000F/JP/page/safety_ja.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,page,spec_ja,spec_ja.rst,page/spec_ja.rst,M,207,90,,docs/_review/JE-1000F/JP/page/spec_ja.rst,HEAD~1,HEAD
