tracked_root,model,region,artifact,section,page_key,file_name,relative_path,section_title,field_key,change_type,old_value,new_value,source_section_key,source_row_key,source_line_order,source_csv_line,from_ref,to_ref
docs/_review/JE-1000F/JP,JE-1000F,JP,review,generated,03_product_overview_ja,03_product_overview_ja.rst,generated/JE-1000F/draft/03_product_overview_ja.rst,正面,メイン電源ボタン -> 主電源ボタン,M,持ち手,ハンドル,CONTROLS,tpl_main_power_button_label,1,77,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,generated,03_product_overview_ja,03_product_overview_ja.rst,generated/JE-1000F/draft/03_product_overview_ja.rst,正面,12Vシガーソケット出力 12V/10A 最大 -> シガーソケット出力ポート 12V⎓最大10A,M,LCDディスプレイ,LCDディスプレイ,OUTPUT PORTS,tpl_front_dc12_port_label; tpl_front_dc12_port_spec,1,80; 81,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,generated,03_product_overview_ja,03_product_overview_ja.rst,generated/JE-1000F/draft/03_product_overview_ja.rst,正面,USB-C 30W出力 5V/3A、9V/3A、12V/2.5A、15V/2A、20V/1.5A、最大30W -> USB-C 30W出力ポート 5V⎓3A，9V⎓3A，12V⎓2.5A，15V⎓2A，20V⎓1.5A，最大30W,M,LEDライト,LEDライト,OUTPUT PORTS,tpl_front_usb_c_low_spec; tpl_front_usb_c_low_label,1,83; 82,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,generated,03_product_overview_ja,03_product_overview_ja.rst,generated/JE-1000F/draft/03_product_overview_ja.rst,正面,USB-C 100W出力 5V/3A、9V/3A、12V/3A、15V/3A、20V/5A、最大100W -> USB-C 100W出力ポート 5V⎓3A，9V⎓3A，12V⎓3A，15V⎓3A，20V⎓5A，最大100W,M,AC出力ボタン,AC出力ボタン,OUTPUT PORTS; CONTROLS,tpl_usb_c_high_power_port_label; tpl_ac_power_button_label; tpl_front_usb_c_high_spec; tpl_front_usb_c_high_label; tpl_usb_c_high_power_port_label; tpl_ac_power_button_label,1,99; 79; 85; 84; 99; 79,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,generated,03_product_overview_ja,03_product_overview_ja.rst,generated/JE-1000F/draft/03_product_overview_ja.rst,正面,USB-A 18W出力 5-6V/3A、6-9V/2A、9-12V/1.5A、最大18W -> USB-A 18W出力ポート 5-6V⎓3A，6-9V⎓2A，9-12V⎓1.5A，最大18W,M,AC出力 100V~50/60Hz、15A、定格1500W、瞬間最大3000W,AC出力ポート 100V~ 50Hz/60Hz，最大15A，定格1500W，瞬間最大3000W,OUTPUT PORTS,tpl_ups_bypass_output_text; tpl_front_ac_output_spec; tpl_front_usb_a_spec; tpl_front_usb_a_label; tpl_front_ac_output_label; tpl_ups_bypass_output_text,1,100; 89; 87; 86; 88; 100,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,generated,05_operation_guide_ja,05_operation_guide_ja.rst,generated/JE-1000F/draft/05_operation_guide_ja.rst,ボタン操作,メイン電源ボタン + AC出力ボタン / 両方を3秒間長押し -> AC出力ボタン + USB出力ボタン / 両方を1秒間長押し,M,省エネモードのオン/ オフを切り替えます。,Wi-Fi＆Bluetooth オン/オフ,CONTROLS,tpl_ac_power_button_label,1,79,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,generated,05_operation_guide_ja,05_operation_guide_ja.rst,generated/JE-1000F/draft/05_operation_guide_ja.rst,LCDスクリーン,.. image:: _assets/templates/word_template/common_assets/operation/lcd_mode.png :alt: LCD display mode diagram. :width: 140px / 短くオン / オンにする / メイン電源ボタンを押すか、充電入力がある場合。 * / 短くオン / オフにする / メイン電源ボタンを押します。 * / 短くオン / 自動オフ / 2分後にLCDは自動的に消灯し、スリープモードになります。 * / 常時オン / オンにする / デバイスが起動している状態でメイン電源ボタンを2回押します。 * / 常時オン / オフにする / メイン電源ボタンを押します。 * / 常時オン / 自動オフ -> .. image:: _assets/templates/word_template/common_assets/operation/lcd_mode.png :alt: LCD display mode diagram. :width: 140px / 短くオン / オンにする / 主電源ボタンを押すか、充電入力がある場合。 * / 短くオン / オフにする / 主電源ボタンを押します。 * / 短くオン / 自動オフ / 2分後にLCDは自動的に消灯し、スリープモードになります。 * / 常時オン / オンにする / デバイスが起動している状態で主電源ボタンを2回押します。 * / 常時オン / オフにする / 主電源ボタンを押します。 * / 常時オン / 自動オフ,M,常時点灯ディスプレイモードは、2時間操作がないと自動的に消灯します。,常時点灯ディスプレイモードは、2時間操作がないと自動的に消灯します。,SETTINGS; CONTROLS; SETTINGS,tpl_default_standby_duration; tpl_main_power_button_label; tpl_default_standby_duration,1,95; 77; 95,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,generated,05_operation_guide_ja,05_operation_guide_ja.rst,generated/JE-1000F/draft/05_operation_guide_ja.rst,ボタン操作,メイン電源ボタン + DC/USB出力ボタン / 両方を3秒間長押し,D,Wi-Fiのリセット,,CONTROLS,tpl_dc_usb_power_button_label,1,78,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,generated,05_operation_guide_ja,05_operation_guide_ja.rst,generated/JE-1000F/draft/05_operation_guide_ja.rst,ボタン操作,DC/USB出力ボタン + AC出力ボタン / 両方を1秒間長押し,D,Wi-Fi＆Bluetooth オン/オフ,,CONTROLS,tpl_dc_usb_power_button_label; tpl_ac_power_button_label,1,78; 79,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,generated,05_operation_guide_ja,05_operation_guide_ja.rst,generated/JE-1000F/draft/05_operation_guide_ja.rst,ボタン操作,主電源ボタン + AC出力ボタン / 両方を3秒間長押し,A,,省エネモードのオン/ オフを切り替えます。,CONTROLS,tpl_ac_power_button_label; tpl_main_power_button_label,1,79; 77,HEAD~1,HEAD
